szerző;cím;ért
Gárdonyi Géza;Egri csillagok;77,65
Molnár Ferenc;A Pál utcai fiúk;85,07
Szabó Magda;Abigél;94,21
George Orwell;1984;91,97
Jókai Mór;Az arany ember;82,86
Alan Alexander Milne;Micimackó;90,59
Antoine de Saint-Exupéry;A kis herceg;90,79
J. R. R. Tolkien;A Gyűrűk Ura;92,85
J. K. Rowling;Harry Potter és a bölcsek köve;92,30
Mihail Bulgakov;A Mester és Margarita;90,69
Fekete István;Tüskevár;87,08
Gabriel García Márquez;Száz év magány;87,83
Tamási Áron;Ábel a rengetegben;76,83
Jókai Mór;A kőszívű ember fiai;74,11
Rideg Sándor;Indul a bakterház;89,36
J. K. Rowling;Harry Potter és az azkabani fogoly;94,05
J. K. Rowling;Harry Potter és a Titkok Kamrája;91,37
Móricz Zsigmond;Légy jó mindhalálig;72,07
Fekete István;Vuk;88,55
Ernest Hemingway;Az öreg halász és a tenger;82,27
Erich Kästner;A két Lotti;86,49
Margaret Mitchell;Elfújta a szél;92,12
Victor Hugo;A nyomorultak;90,22
Alexandre Dumas;Monte Cristo grófja;93,58
Wass Albert;A funtineli boszorkány;93,43
J. K. Rowling;Harry Potter és a Főnix Rendje;91,59
Kertész Imre;Sorstalanság;73,82
Alexandre Dumas;A három testőr;90,15
Móra Ferenc;Kincskereső kisködmön;76,44
Henryk Sienkiewicz;Quo vadis?;91,23
Wass Albert;Adjátok vissza a hegyeimet!;88,43
Márai Sándor;A gyertyák csonkig égnek;83,89
Móricz Zsigmond;Árvácska;85,87
Fjodor Mihajlovics Dosztojevszkij;Bűn és bűnhődés;90,42
Mikszáth Kálmán;Szent Péter esernyője;81,11
Charlotte Brontë;Jane Eyre;91,62
Rejtő Jenő (P. Howard);Piszkos Fred, a kapitány;91,85
Gárdonyi Géza;A láthatatlan ember;87,58
Emily Brontë;Üvöltő szelek;83,47
Dallos Sándor;A nap szerelmese;90,91
Stendhal;Vörös és fekete;77,33
J. D. Salinger;Zabhegyező;78,86
Kosztolányi Dezső;Édes Anna;82,24
Joseph Heller;A 22-es csapdája;87,21
Fekete István;Bogáncs;86,60
William Golding;A Legyek Ura;83,42
Rejtő Jenő (P. Howard);A tizennégy karátos autó;88,53
Dallos Sándor;Aranyecset;90,58
Eric Knight;Lassie hazatér;78,80
Karl May;Winnetou;90,00
Fekete István;Téli berek;87,22
Lev Tolsztoj;Háború és béke;88,73
Ernest Hemingway;Akiért a harang szól;84,28
Jane Austen;Büszkeség és balítélet;92,87
Móra Ferenc;Aranykoporsó;89,07
Mikszáth Kálmán;A fekete város;87,96
Meg Cabot;A neveletlen hercegnő naplója 1.;84,19
Örkény István;Tóték;87,14
Daniel Keyes;Virágot Algernonnak;95,04
Rácz Zsuzsa;Állítsátok meg Terézanyut!;62,24
Umberto Eco;A rózsa neve;87,36
Daniel Defoe;Robinson Crusoe;78,68
Robert Merle;Mesterségem a halál;92,29
Dan Brown;A Da Vinci-kód;82,82
John Steinbeck;Édentől keletre;92,85
Jaroslav Hašek;Švejk;87,07
Irwin Shaw;Oroszlánkölykök;89,87
Wass Albert;Kard és kasza;93,18
Ken Follett;A katedrális;87,36
Erich Maria Remarque;A Diadalív árnyékában;87,83
Ottlik Géza;Iskola a határon;86,24
Jókai Mór;Egy magyar nábob;88,32
Eric Knight;Légy hű magadhoz;87,43
Németh László;Iszony;85,72
Ernest Hemingway;Búcsú a fegyverektől;82,88
Lev Tolsztoj;Anna Karenina;85,08
Karinthy Frigyes;Utazás a koponyám körül;88,66
Douglas Adams;Galaxis Útikalauz stopposoknak;88,79
Gabriel García Márquez;Szerelem a kolera idején;88,42
Vámos Miklós;Apák könyve;90,38
Szerb Antal;A Pendragon legenda;88,05
Fehér Klára;Bezzeg az én időmben;93,02
Böszörményi Gyula;Gergő és az álomfogók;85,81
Robert Merle;Malevil;89,46
Paulo Coelho;Az alkimista;71,94
Szabó Magda;Für Elise;92,85
Szerb Antal;Utas és holdvilág;90,15
Závada Pál;Jadviga párnája;82,12
Gárdonyi Géza;Ida regénye;90,60
Thomas Mann;A varázshegy;86,11
Szabó Magda;Régimódi történet;90,56
Milan Kundera;A lét elviselhetetlen könnyűsége;84,52
Szabó Magda;Az ajtó;92,37
Márai Sándor;Egy polgár vallomásai;83,37
Szepes Mária;A Vörös Oroszlán;87,20
Thomas Mann;József és testvérei;92,13
Jókai Anna;Ne féljetek!;86,24
Faludy György;Pokolbeli víg napjaim;94,57
Nógrádi Gábor;PetePite;83,61
Esterházy Péter;Harmonia Caelestis;82,51
