rendeles_id;tetel_rend_id;feltet_id;szimpla_vagy_dupla
R12345;1;F12;1
R12345;1;F56;1
R12345;2;F13;2
R12345;3;F01;1
R12345;3;F04;1
R12346;1;F06;1
R12346;1;F55;1
R12347;1;F01;1
R12347;1;F04;1
R12347;1;F34;1
R12347;3;F04;2
R12347;3;F05;1
R12349;1;F01;2
R12349;2;F02;1
R12349;2;F33;2
R12349;3;F07;1
R12349;3;F33;1
R12349;4;F03;1
R12349;4;F54;1
R12350;1;F66;1
R12350;1;F52;1
R12350;1;F33;1
R12350;1;F54;1
R12351;1;F02;2
R12351;1;F32;1
R12351;2;F08;1
R12351;2;F34;1
R12351;3;F08;1
R12352;1;F14;1
R12352;1;F61;1
R12352;2;F15;1
R12352;2;F13;1
R12353;1;F21;1
R12353;1;F33;2
R12353;2;F12;1
R12353;2;F51;1
R12353;2;F53;1
R12353;3;F03;1
R12353;3;F33;1
R12353;4;F61;1
R12353;4;F62;1
R12353;4;F64;1
R12353;5;F08;1
R12353;5;F53;1
R12353;6;F06;1
R12353;6;F55;1
R12354;1;F08;1
R12354;1;F56;1
R12354;1;F59;1
R12354;1;F31;1
R12355;1;F11;1
R12355;1;F52;1
R12355;2;F06;1
R12355;2;F31;2
R12356;1;F33;1
R12356;1;F52;1
R12356;1;F51;1
R12356;2;F06;1
R12356;2;F07;1
R12356;2;F33;1
R12356;3;F65;1
R12356;3;F33;2
R12357;1;F11;1
R12358;2;F65;1
R12359;1;F12;1
R12359;1;F56;1
R12359;2;F14;1
R12359;2;F61;1
R12360;1;F06;2
R12360;1;F31;1
R12360;2;F01;1
R12360;2;F04;1
R12360;2;F34;1
R12361;1;F21;1
R12361;1;F33;1
R12362;1;F06;1
R12362;1;F55;1
R12362;2;F06;1
R12362;2;F07;1
R12362;2;F33;1
R12363;1;F66;1
R12363;1;F52;1
R12363;1;F33;1
R12363;1;F54;1
R12363;2;F65;1
R12363;2;F33;1
R12364;1;F08;1
R12364;1;F56;1
R12364;1;F59;1
R12364;1;F31;1
R12365;1;F03;2
R12365;1;F54;1
R12366;1;F15;1
R12366;1;F13;1
R12366;2;F11;1
R12366;2;F52;1
R12367;1;F01;1
R12367;1;F04;1
R12368;1;F04;1
R12368;1;F05;1
R12368;2;F02;1
R12368;2;F32;1
R12369;1;F61;1
R12369;1;F62;1
R12369;1;F64;1
R12370;1;F08;2
R12370;1;F53;1
R12370;2;F07;1
R12370;2;F33;1
R12371;1;F33;1
R12371;1;F52;1
R12371;1;F51;1
R12372;1;F03;1
R12372;1;F33;1
R12372;2;F08;1
R12372;2;F34;1
R12373;1;F02;1
R12373;1;F33;1
R12373;2;F12;1
R12373;2;F51;1
R12373;2;F53;1
R12374;1;F11;1
R12374;2;F13;1
R12374;3;F01;1
