feltet_id;feltet_nev;ar
F01;Sonka;200
F02;Pármai sonka;250
F03;Szalámi;200
F04;Bacon;180
F05;Tarja;190
F06;Kolbász;190
F07;Salsiccia;210
F08;Csirkemell;180
F11;Lazacfilé;250
F12;Szardínia;220
F13;Tenger gyümölcsei;240
F14;Tonhal;200
F15;Rák;220
F21;Tojás;150
F31;Trappista sajt;140
F32;Parmezán;150
F33;Mozzarella;160
F34;Gorgonzola;170
F35;Ricotta;160
F51;Kukorica;120
F52;Paradicsom;120
F53;Kaliforniai paprika;130
F54;Pepperoni;130
F55;Chili;110
F56;Olívabogyó;140
F57;Kígyóuborka;110
F58;Jalapeno;130
F59;Lilahagyma;100
F60;Póréhagyma;100
F61;Ruccola;130
F62;Bazsalikom;100
F63;Brokkoli;120
F64;Spenót;110
F65;Ananász;150
F66;Gomba;150
F67;Kapribogyó;160
