Dátum	Összes fogyasztás	Ebből elvitelre	ÁFA-tartalom	ÁFA-becslés 2018	Milyen napra esett?
január 1.	2186358	468049			
január 2.	1877667	753346			
január 3.	1455232	524696			
január 4.	1330838	459307			
január 5.	1354041	528087			
január 6.	2112321	1203952			
január 7.	2623467	637164			
január 8.	2140135	451131			
január 9.	1863295	764803			
január 10.	1466047	516343			
január 11.	1386634	468526			
január 12.	1360868	536160			
január 13.	2041372	1163864			
január 14.	2556482	618654			
január 15.	2208133	465009			
január 16.	1910189	796086			
január 17.	1483163	536153			
január 18.	1343477	454569			
január 19.	1352431	525030			
január 20.	2093892	1199185			
január 21.	2511467	599507			
január 22.	2231641	476510			
január 23.	1899732	796114			
január 24.	1534966	572996			
január 25.	1404165	489369			
január 26.	1377166	556109			
január 27.	2077986	1186544			
január 28.	2500667	577692			
január 29.	2188240	474272			
január 30.	1845973	767645			
január 31.	1534882	553724			
február 1.	1401934	480176			
február 2.	1347101	529928			
február 3.	2058561	1122257			
február 4.	2506471	584788			
február 5.	2216728	468564			
február 6.	1867513	758503			
február 7.	1488247	555458			
február 8.	1397516	479426			
február 9.	1401483	533676			
február 10.	2048514	1179055			
február 11.	2479106	578515			
február 12.	2159985	474320			
február 13.	1952328	822698			
február 14.	1529528	554266			
február 15.	1387910	461575			
február 16.	1339942	519700			
február 17.	1873394	1182062			
február 18.	2135330	614515			
február 19.	2161650	460515			
február 20.	1936044	776782			
február 21.	1531276	568775			
február 22.	1328573	441012			
február 23.	1397587	533208			
február 24.	2100897	1164453			
február 25.	2555061	594471			
február 26.	2210098	476673			
február 27.	1860557	752551			
február 28.	1516449	539326			
március 1.	1353967	471919			
március 2.	1393843	553382			
március 3.	2026084	1144739			
március 4.	2540178	617448			
március 5.	2264025	495892			
március 6.	1847354	778757			
március 7.	1520787	545224			
március 8.	1338460	465274			
március 9.	1343266	517151			
március 10.	2006238	1101243			
március 11.	2477310	585814			
március 12.	2261275	499562			
március 13.	1944020	789183			
március 14.	1493291	526746			
március 15.	1377596	475414			
március 16.	1340871	516919			
március 17.	2045217	1119375			
március 18.	2498096	603517			
március 19.	2158043	474461			
március 20.	1857149	757512			
március 21.	1524509	564373			
március 22.	1361885	471954			
március 23.	1389330	547825			
március 24.	2007015	1133613			
március 25.	2533261	616839			
március 26.	2226909	496437			
március 27.	1840337	756480			
március 28.	1458712	520702			
március 29.	1377856	461794			
március 30.	1333045	523457			
március 31.	2096392	1176011			
április 1.	2510096	578188			
április 2.	2205354	486205			
április 3.	1960223	803455			
