Egyetem neve;Méret;Kutatás;Életkor;Státusz;2013;2014;2015;2016;2017;2018;2019;2020
CentraleSupélec;S;VH;5;A;-;-;60,1;52,1;;50;51,5;51,4
Ecole des Ponts ParisTech;S;HI;5;A;40,2;42,2;41,1;39,1;;39,8;37;37,8
Ecole Normale Supérieure de Lyon;S;VH;5;A;57,7;56,3;55,1;49,6;;52,8;49,2;48,3
Ecole Normale Supérieure, Paris (ENS Paris);S;VH;5;B;87,8;90,2;89,2;82,9;;79,9;-;-
Ecole Polytechnique;S;VH;5;A;81,1;85;83,8;75,7;;74;67,9;70,5
ENS Paris-Saclay;S;VH;5;A;38;39,2;42,8;39,2;;35,4;34,3;33,5
ESCP Europe;S;MD;5;B;-;-;-;-;;-;-;-
ESSEC Business School, Paris;M;VH;5;B;-;-;-;-;;-;-;-
Grenoble INP, Grenoble Institute of Technology;M;HI;5;A;-;-;-;-;;-;-;-
HEC Paris;S;VH;5;B;-;-;-;-;;-;-;-
INSEAD (France);S;VH;4;B;-;-;-;-;;-;-;-
Institut National des Sciences Appliquées de Lyon (INSA);M;VH;4;;-;34,3;35,9;28,5;;27,7;24,6;23,8
Sciences Po Paris;M;HI;5;A;50,2;50,7;50,2;44,5;;45,2;41;38,9
Sorbonne University;XL;VH;1;A;-;-;-;-;;-;64,8;64,9
TELECOM ParisTech;S;HI;1;;-;-;-;-;;-;-;40,7
Université Aix-Marseille;XL;VH;5;A;36;39,1;37,5;28,9;;29,7;25,6;24,3
Université Claude Bernard Lyon 1;XL;HI;5;A;32,4;34,6;30,2;-;;-;19,2;17,5
Université de Bordeaux;XL;VH;5;A;39,4;37,3;32;-;;-;24;25,5
Université de Caen Basse-Normandie;L;HI;5;A;-;-;-;-;;-;10,7;-
Université de Cergy-Pontoise;L;MD;2;A;-;-;-;-;;-;10,7;-
Université de Lille;XL;VH;1;A;32,6;30;30,5;-;;-;17,9;15,9
Université de Lorraine;XL;MD;5;A;-;-;-;-;;-;10,7;14,6
Université de Montpellier;XL;VH;5;A;33,9;33,3;36,4;34,8;;32;27;24,2
Université de Nantes;XL;HI;5;A;-;-;-;-;;-;10,7;11,5
Université de Poitiers;L;HI;5;A;-;-;-;-;;-;10,7;11,5
Université de Rennes 1;L;VH;5;A;-;-;-;-;;-;16,2;11,5
Université de Strasbourg;XL;HI;5;A;48,5;50,4;48,1;39,6;;37,5;31,3;28,9
Université de Technologie, Compiègne (UTC);S;VH;3;A;-;-;-;-;;-;-;-
Université Grenoble-Alpes (UGA);XL;VH;5;A;49,6;51,8;48,9;46,1;;42,9;35;31
Université Jean Moulin Lyon 3;L;LO;5;A;-;-;-;-;;-;10,7;-
Université Lumière Lyon 2;L;HI;5;A;-;-;-;-;;-;10,7;11,5
Université Nice Sophia-Antipolis;L;HI;3;A;28,5;-;-;-;;-;17,9;-
Université Panthéon-Assas (Paris 2);L;LO;5;A;30,3;-;-;-;;-;22,3;22,1
Université Paris 1 Panthéon-Sorbonne;XL;HI;5;A;49,1;50;48,2;43,3;;40;34,5;34,2
Université Paris Dauphine;M;MD;3;A;35,9;36,9;36,9;32,8;;33,4;-;-
Université Paris Descartes;L;VH;5;A;42,2;44;35,9;31,4;;27,9;21;-
Université Paris Diderot - Paris 7;L;VH;5;A;51,8;53;46;39,4;;37,3;34,7;-
Université Paris Ouest Nanterre La Défense;L;HI;5;A;-;-;-;-;;-;10,7;-
Université Paris-Sorbonne (Paris IV);L;VH;5;A;49,9;50,3;50,3;44,4;;37,9;-;-
Université Paris-Sud 11;L;VH;5;A;53,7;53,3;48,1;42;;42,3;38,9;36,8
Université Paul Sabatier Toulouse III;XL;HI;5;A;33,5;31,9;35,1;26,8;;-;22,7;22,1
Université Paul-Valéry Montpellier 3;L;MD;5;A;-;-;-;-;;-;10,7;11,5
Université Pierre et Marie Curie (UPMC);L;VH;5;A;65,9;66,2;63,2;55,6;;57,5;-;-
Université PSL (Paris Sciences & Lettres);L;VH;1;A;-;-;-;-;;-;75,1;73,4
Université Sorbonne Nouvelle Paris 3;L;VH;;;-;-;-;-;;-;-;-
Université Toulouse 1, Capitole;L;MD;5;A;-;-;-;-;;-;10,7;11,5
University of Côte d'Azur;XL;;1;;-;-;-;-;;-;-;20,4
University of Paris;XL;;1;;-;-;-;-;;-;-;37,5
University Toulouse – Jean Jaurès;L;HI;5;A;-;-;-;-;;-;10,7;11,5
