megye_id;nem_1;vezeteknev_1;keresztnev_1;szavazatok_1;nem_2;vezeteknev_2;keresztnev_2;szavazatok_2
1;F;LE PEN;Marine;81455;M;MACRON;Emmanuel;73692
2;F;LE PEN;Marine;102770;M;MACRON;Emmanuel;51680
3;M;MACRON;Emmanuel;45651;F;LE PEN;Marine;43004
4;F;LE PEN;Marine;24463;M;MÉLENCHON;Jean-Luc;22448
5;M;MACRON;Emmanuel;18948;M;MÉLENCHON;Jean-Luc;18796
6;F;LE PEN;Marine;163141;M;FILLON;François;161036
7;F;LE PEN;Marine;45305;M;MÉLENCHON;Jean-Luc;42622
8;F;LE PEN;Marine;47578;M;MACRON;Emmanuel;26912
9;M;MÉLENCHON;Jean-Luc;24970;F;LE PEN;Marine;20247
10;F;LE PEN;Marine;48846;M;FILLON;François;37122
11;F;LE PEN;Marine;60585;M;MÉLENCHON;Jean-Luc;46126
12;M;MACRON;Emmanuel;45584;M;FILLON;François;36664
13;F;LE PEN;Marine;286397;M;MÉLENCHON;Jean-Luc;231194
14;M;MACRON;Emmanuel;99720;M;FILLON;François;82340
15;M;MACRON;Emmanuel;24477;M;FILLON;François;21589
16;M;MACRON;Emmanuel;49889;F;LE PEN;Marine;42598
17;M;MACRON;Emmanuel;91355;F;LE PEN;Marine;80764
18;F;LE PEN;Marine;41753;M;MACRON;Emmanuel;38076
19;M;MACRON;Emmanuel;39218;M;MÉLENCHON;Jean-Luc;30357
2A;F;LE PEN;Marine;20858;M;FILLON;François;18714
2B;F;LE PEN;Marine;22183;M;FILLON;François;20739
21;M;MACRON;Emmanuel;67436;F;LE PEN;Marine;64200
22;M;MACRON;Emmanuel;104969;M;MÉLENCHON;Jean-Luc;76013
23;M;MACRON;Emmanuel;15807;M;MÉLENCHON;Jean-Luc;14827
24;M;MÉLENCHON;Jean-Luc;57132;M;MACRON;Emmanuel;55945
25;F;LE PEN;Marine;66635;M;MACRON;Emmanuel;63954
26;F;LE PEN;Marine;68996;M;MACRON;Emmanuel;63164
27;F;LE PEN;Marine;98719;M;MACRON;Emmanuel;66986
28;F;LE PEN;Marine;58886;M;FILLON;François;51275
29;M;MACRON;Emmanuel;164095;M;MÉLENCHON;Jean-Luc;109607
30;F;LE PEN;Marine;123273;M;MÉLENCHON;Jean-Luc;90905
31;M;MACRON;Emmanuel;190128;M;MÉLENCHON;Jean-Luc;170446
32;M;MACRON;Emmanuel;27775;F;LE PEN;Marine;23387
33;M;MACRON;Emmanuel;222287;M;MÉLENCHON;Jean-Luc;185888
34;F;LE PEN;Marine;161119;M;MÉLENCHON;Jean-Luc;143996
35;M;MACRON;Emmanuel;181373;M;MÉLENCHON;Jean-Luc;118096
36;F;LE PEN;Marine;31985;M;MACRON;Emmanuel;27301
37;M;MACRON;Emmanuel;83165;M;FILLON;François;72196
38;M;MACRON;Emmanuel;164091;F;LE PEN;Marine;147910
39;F;LE PEN;Marine;36110;M;MACRON;Emmanuel;31896
40;M;MACRON;Emmanuel;61043;M;MÉLENCHON;Jean-Luc;49949
41;F;LE PEN;Marine;48662;M;FILLON;François;42756
42;F;LE PEN;Marine;94222;M;MACRON;Emmanuel;90677
43;M;MACRON;Emmanuel;32821;F;LE PEN;Marine;32185
44;M;MACRON;Emmanuel;232602;M;MÉLENCHON;Jean-Luc;178357
45;F;LE PEN;Marine;83662;M;MACRON;Emmanuel;83506
46;M;MACRON;Emmanuel;29527;M;MÉLENCHON;Jean-Luc;26014
47;F;LE PEN;Marine;47271;M;MACRON;Emmanuel;39253
48;M;FILLON;François;10986;M;MACRON;Emmanuel;10463
49;M;MACRON;Emmanuel;121685;M;FILLON;François;108888
50;M;MACRON;Emmanuel;74683;M;FILLON;François;64909
51;F;LE PEN;Marine;82473;M;FILLON;François;65081
52;F;LE PEN;Marine;34027;M;FILLON;François;19590
53;M;FILLON;François;48772;M;MACRON;Emmanuel;46938
54;F;LE PEN;Marine;98194;M;MACRON;Emmanuel;83703
55;F;LE PEN;Marine;34602;M;MACRON;Emmanuel;20713
56;M;MACRON;Emmanuel;130639;M;FILLON;François;97900
57;F;LE PEN;Marine;158542;M;MACRON;Emmanuel;117738
58;F;LE PEN;Marine;29817;M;MACRON;Emmanuel;27356
59;F;LE PEN;Marine;382030;M;MÉLENCHON;Jean-Luc;288115
60;F;LE PEN;Marine;135188;M;MACRON;Emmanuel;86680
61;M;FILLON;François;41084;F;LE PEN;Marine;39532
62;F;LE PEN;Marine;286147;M;MÉLENCHON;Jean-Luc;159342
63;M;MACRON;Emmanuel;96797;M;MÉLENCHON;Jean-Luc;78417
64;M;MACRON;Emmanuel;103958;M;MÉLENCHON;Jean-Luc;78803
65;M;MACRON;Emmanuel;35070;M;MÉLENCHON;Jean-Luc;32148
66;F;LE PEN;Marine;80169;M;MÉLENCHON;Jean-Luc;56392
67;F;LE PEN;Marine;147714;M;MACRON;Emmanuel;133347
68;F;LE PEN;Marine;109704;M;FILLON;François;90237
69;M;MACRON;Emmanuel;236137;M;FILLON;François;205781
70;F;LE PEN;Marine;43753;M;MACRON;Emmanuel;27332
71;F;LE PEN;Marine;75258;M;MACRON;Emmanuel;69212
72;M;FILLON;François;92261;F;LE PEN;Marine;67083
73;M;MACRON;Emmanuel;55871;F;LE PEN;Marine;52448
74;M;FILLON;François;105057;M;MACRON;Emmanuel;100174
75;M;MACRON;Emmanuel;375006;M;FILLON;François;284744
76;F;LE PEN;Marine;170945;M;MÉLENCHON;Jean-Luc;152394
77;M;MACRON;Emmanuel;157314;F;LE PEN;Marine;155521
78;M;MACRON;Emmanuel;219063;M;FILLON;François;206835
79;M;MACRON;Emmanuel;57826;M;MÉLENCHON;Jean-Luc;41609
80;F;LE PEN;Marine;97081;M;MACRON;Emmanuel;69520
81;F;LE PEN;Marine;52402;M;MACRON;Emmanuel;51755
82;F;LE PEN;Marine;39183;M;MACRON;Emmanuel;30319
83;F;LE PEN;Marine;186376;M;FILLON;François;152316
84;F;LE PEN;Marine;95930;M;MÉLENCHON;Jean-Luc;60852
85;M;MACRON;Emmanuel;109989;M;FILLON;François;106804
86;M;MACRON;Emmanuel;59146;M;MÉLENCHON;Jean-Luc;49061
87;M;MACRON;Emmanuel;55577;M;MÉLENCHON;Jean-Luc;46549
88;F;LE PEN;Marine;63924;M;MACRON;Emmanuel;43604
89;F;LE PEN;Marine;52640;M;FILLON;François;36739
90;F;LE PEN;Marine;19249;M;MACRON;Emmanuel;14771
91;M;MACRON;Emmanuel;163389;M;MÉLENCHON;Jean-Luc;136392
92;M;MACRON;Emmanuel;256687;M;FILLON;François;231553
93;M;MÉLENCHON;Jean-Luc;184123;M;MACRON;Emmanuel;130103
94;M;MACRON;Emmanuel;172202;M;MÉLENCHON;Jean-Luc;149112
95;M;MACRON;Emmanuel;138752;M;MÉLENCHON;Jean-Luc;131342
ZA;M;MACRON;Emmanuel;33930;M;MÉLENCHON;Jean-Luc;27081
ZB;M;MÉLENCHON;Jean-Luc;29903;M;MACRON;Emmanuel;27893
ZC;M;MÉLENCHON;Jean-Luc;6633;F;LE PEN;Marine;6521
ZD;M;MÉLENCHON;Jean-Luc;85987;F;LE PEN;Marine;82219
ZM;M;FILLON;François;10808;F;LE PEN;Marine;9008
ZN;M;FILLON;François;27065;F;LE PEN;Marine;25290
ZP;M;FILLON;François;26679;F;LE PEN;Marine;24604
ZS;M;MÉLENCHON;Jean-Luc;933;F;LE PEN;Marine;478
ZW;M;MACRON;Emmanuel;1630;M;FILLON;François;1526
ZX;M;FILLON;François;2518;F;LE PEN;Marine;1834
ZZ;M;MACRON;Emmanuel;223879;M;FILLON;François;145829
