megye_id;szavazasra_jogusolt;tavolmaradok;tavolmaradok_aranya;leadott_szavazatok;reszveteli_arany;ures_szavazatok;ervenytelen_szavazatok;ervenyes_szavazatok
1;415886;81507;19,6;334379;80,4;6342;2238;325799
2;375752;80183;21,34;295569;78,66;5047;2382;288140
3;253508;54275;21,41;199233;78,59;4335;2438;192460
4;126578;24323;19,22;102255;80,78;1808;733;99714
5;109907;20821;18,94;89086;81,06;1541;618;86927
6;761761;161903;21,25;599858;78,75;9089;2837;587932
7;249258;46618;18,7;202640;81,3;3896;3188;195556
8;194379;44076;22,68;150303;77,32;2553;947;146803
9;117409;21392;18,22;96017;81,78;1727;984;93306
10;203847;38951;19,11;164896;80,89;2745;1083;161068
11;272695;52553;19,27;220142;80,73;3867;1914;214361
12;218276;36378;16,67;181898;83,33;3630;1805;176463
13;1372394;300146;21,87;1072248;78,13;16578;5972;1049698
14;501153;90313;18,02;410840;81,98;6292;2926;401622
15;117425;22767;19,39;94658;80,61;2113;979;91566
16;259954;54980;21,15;204974;78,85;3736;2225;199013
17;491369;99351;20,22;392018;79,78;6848;3105;382065
18;228983;50910;22,23;178073;77,77;4010;1377;172686
19;185277;34299;18,51;150978;81,49;3429;1936;145613
2A;108781;33758;31,03;75023;68,97;1208;947;72868
2B;124875;40907;32,76;83968;67,24;1666;794;81508
21;360658;68680;19,04;291978;80,96;5118;1736;285124
22;455958;71617;15,71;384341;84,29;6436;2936;374969
23;93113;19917;21,39;73196;78,61;1950;995;70251
24;314020;57520;18,32;256500;81,68;5047;2743;248710
25;368401;76199;20,68;292202;79,32;5807;2216;284179
26;369489;73210;19,81;296279;80,19;5470;2068;288741
27;427533;82215;19,23;345318;80,77;6024;2517;336777
28;301466;60474;20,06;240992;79,94;4533;1680;234779
29;690571;120636;17,47;569935;82,53;9452;3298;557185
30;537939;107277;19,94;430662;80,06;7032;2948;420682
31;906653;170785;18,84;735868;81,16;11410;5065;719393
32;144959;23027;15,89;121932;84,11;2166;1083;118683
33;1086982;216602;19,93;870380;80,07;13936;5624;850820
34;800394;159370;19,91;641024;80,09;10051;4129;626844
35;730142;116705;15,98;613437;84,02;10011;4085;599341
36;170409;34911;20,49;135498;79,51;3081;1483;130934
