Egyesület azonosító;Egyesület név
1;BBTE
2;BEAC
3;BHSE
4;BKE
5;BKV Előre SC
6;Bp. Bástya
7;Bp. Építők SC
8;Bp. Petőfi
9;Bp. Spartacus SC
10;Bp. VM SK
11;Bp.-i KDSE
12;BSE
13;BVSC
14;Csepeli Vasas
15;Debreceni Főnix SE
16;Debreceni Medikus SE
17;Debreeni Sportcentrum
18;egy.kiv.
19;FTC
20;Fullsport SE
21;Goldberger SE
22;H. Papp József SE
23;H. Zalka SE
24;Halihó SE
25;Hófutók
26;Honvéd Zalka SE
27;Jászberényi Balczó András Diáksport SE
28;Jászberényi SE
29;Jégcsillag SE
30;Kaposvári Épitők AC
31;Kékesi Sas SK
32;Körte SE
33;MAC
34;MAC-Népstadion
35;MAFC
36;Mátra Biatlon és Sífutó Egyesület
37;Micro SC
38;Miskolci Honvéd SE
39;MOLSPED
40;MSK
41;MTK
42;MTK-VM
43;Panoráma SE
44;Paprika Bob Club
45;Pécsi Korcsolyázó Egylet
46;Pécsi Korcsolyázó Sport Club
47;Pécsi KSE
48;Pécsi Sport Nonprofit Zrt.
49;Piruett SE
50;Procelero SE
51;Rozmaring SE
52;Salgótarjáni PDSE
53;Soproni MAFC
54;Sportország SC
55;Szegedi Korcsolyázó Egyesület
56;Szombathelyi Főiskola SE
57;Tatabányai Diák Korcsolyázó Egyesület
58;TDKE
59;Tiszaújvárosi SC
60;Tornado Short Track Club
61;TTE
62;TVK Olefin SC
63;Ú. Dózsa
64;UTE
65;Vasas SC
66;Veszprémi SI Egylet
67;VL Keltex
