Olimpia;Játékos azonosító;Helyezés szám;Helyezés szöveg;Versenyszám azonosító;Egyesület azonosító
1924;36;31;;50;33
1924;63;;Feladta;5;1
1924;141;20;;61;61
1924;186;;Feladta;49;33
1924;186;;Feladta;5;33
1928;8;11;;3;1
1928;9;11;;3;4
1928;45;10;;46;4
1928;45;19;;63;4
1928;45;20;;65;4
1928;67;11;;3;4
1928;104;11;;3;4
1928;105;11;;3;4
1928;113;11;;3;4
1928;124;11;;3;4
1928;143;11;;3;4
1928;157;11;;3;4
1928;187;;Feladta;49;33
1928;211;11;;3;4
1932;144;4;;15;4
1932;159;3;;15;4
1932;177;4;;15;4
1932;189;3;;15;4
1936;4;;Feladta;1;2
1936;8;7;;3;1
1936;25;15;;4;4
1936;28;7;;3;33
1936;30;30;;1;40
1936;48;7;;3;4
1936;55;7;;3;19
1936;56;7;;3;19
1936;65;7;;3;1
1936;69;7;;3;1
1936;71;14;;36;33
1936;71;17;;65;33
1936;71;25;;46;33
1936;83;7;;3;4
1936;103;27;;1;33
1936;103;;Feladta;5;33
1936;124;7;;3;4
1936;135;7;;3;4
1936;136;7;;3;4
1936;150;9;;4;4
1936;158;7;;3;4
1936;159;3;;15;4
1936;176;19;;1;25
1936;176;;Feladta;5;25
1936;178;7;;3;1
1936;181;4;;15;4
1936;182;4;;15;4
1936;189;3;;15;4
1936;196;8;;4;4
1948;20;57;;49;21
1948;42;29;;65;
1948;42;34;;63;
1948;43;22;;11;40
1948;43;36;;10;40
1948;43;;Feladta;1;40
1948;64;49;;49;39
1948;70;34;;20;21
1948;87;2;;15;4
1948;91;14;;63;4
1948;91;15;;46;4
1948;91;16;;36;4
1948;92;2;;15;4
1948;92;5;;4;4
1948;103;46;;1;5
1948;103;65;;10;5
1948;111;35;;65;4
1948;111;39;;46;4
1948;115;77;;10;35
1948;130;48;;11;39
1948;130;66;;1;39
1948;130;84;;10;39
1948;132;49;;10;21
1948;138;7;;15;4
1948;140;7;;15;4
1948;146;4;;36;4
1948;161;10;;46;4
1948;161;13;;65;4
1948;161;15;;36;4
1948;161;37;;63;4
1948;162;21;;4;4
1948;163;17;;4;4
1948;180;35;;11;35
1948;180;52;;10;35
1948;188;25;;11;35
1948;188;30;;1;35
1948;188;48;;10;35
1948;204;;Feladta;20;64
1952;15;31;;62;67
1952;31;12;;4;14
1952;84;23;;4;14
1952;121;10;;46;3
1952;121;21;;65;3
1952;121;28;;63;3
1952;133;17;;36;3
1952;133;21;;46;3
1952;133;26;;65;3
1952;133;32;;63;3
1952;138;3;;15;7
1952;140;3;;15;7
1952;153;79;;14;5
1952;153;;Helyezetlen;11;5
1952;164;27;;61;6
1952;164;53;;49;6
1952;184;30;;11;5
1952;184;32;;10;5
1952;184;37;;14;5
1952;191;10;;15;7
1952;208;10;;15;7
1956;138;3;;15;14
1956;140;3;;15;14
1960;11;23;;29;65
1960;164;26;;51;63
1960;164;34;;41;63
