Nemzet (NOB-kód);Részvétel száma;Arany;Ezüst;Bronz
 Afganisztán (AFG);0;0;0;0
 Algéria (ALG);0;0;0;0
 Amerikai Virgin-szigetek (ISV);7;0;0;0
 Argentína (ARG);18;0;0;0
 Ausztrálázsia (ANZ);0;0;0;0
 Ausztrália (AUS);18;5;3;4
 Ausztria (AUT);22;59;78;81
 Azerbajdzsán (AZE);5;0;0;0
 Bahama-szigetek (BAH);0;0;0;0
 Bahrein (BRN);0;0;0;0
 Barbados (BAR);0;0;0;0
 Belgium (BEL);20;1;1;3
 Bermuda (BER);7;0;0;0
 Cseh Királyság (BOH);0;0;0;0
 Botswana (BOT);0;0;0;0
 Brazília (BRA);7;0;0;0
 Brit Nyugat-India (BWI);0;0;0;0
 Bulgária (BUL);19;1;2;3
 Burundi (BDI);0;0;0;0
 Chile (CHI);16;0;0;0
 Ciprus (CYP);10;0;0;0
 Costa Rica (CRC);6;0;0;0
 Csehország (CZE);6;7;9;8
 Csehszlovákia (TCH);16;2;8;15
 Dánia (DEN);13;0;1;0
 Dél-afrikai Köztársaság (RSA);6;0;0;0
 Dél-Korea (KOR);17;26;17;10
 Dominikai Köztársaság (DOM);0;0;0;0
 Dzsibuti (DJI);0;0;0;0
 Ecuador (ECU);0;0;0;0
 Egyesített Csapat (EUN);1;9;6;8
 Egyesült Államok (USA);22;96;102;84
 Egyesült Arab Emírségek (UAE);0;0;0;0
 Egyesült Német Csapat (EUA);3;8;6;5
 Egyiptom (EGY);1;0;0;0
 Elefántcsontpart (CIV);0;0;0;0
 Eritrea (ERI);0;0;0;0
 Észak-Korea (PRK);8;0;1;1
 Észtország (EST);9;4;2;1
 Etiópia (ETH);2;0;0;0
 Fehéroroszország (BLR);6;6;4;5
 Fidzsi-szigetek (FIJ);3;0;0;0
 Finnország (FIN);22;42;62;57
 Franciaország (FRA);22;31;31;47
 Független résztvevők (IOP);0;0;0;0
 Fülöp-szigetek (PHI);4;0;0;0
 Gabon (GAB);0;0;0;0
 Ghána (GHA);1;0;0;0
 Görögország (GRE);18;0;0;0
 Grenada (GRN);0;0;0;0
 Grúzia (GEO);6;0;0;0
 Guatemala (GUA);1;0;0;0
 Guyana (GUY);0;0;0;0
 Haiti (HAI);0;0;0;0
 Holland Antillák (AHO);2;0;0;0
 Hollandia (NED);20;37;38;35
 Hongkong (HKG);4;0;0;0
 Horvátország (CRO);7;4;6;1
 India (IND);8;0;0;0
 Indonézia (INA);0;0;0;0
 Irak (IRQ);0;0;0;0
 Irán (IRI);10;0;0;0
 Írország (IRL);6;0;0;0
 Izland (ISL);17;0;0;0
 Izrael (ISR);6;0;0;0
 Jamaica (JAM);7;0;0;0
 Japán (JPN);20;10;17;18
 Jordánia (JOR);0;0;0;0
 Jugoszlávia (YUG);14;0;3;1
 Kamerun (CMR);1;0;0;0
 Kanada (CAN);22;62;56;52
 Katar (QAT);0;0;0;0
 Kazahsztán (KAZ);6;1;3;3
 Kenya (KEN);3;0;0;0
 Kína (CHN);10;12;22;19
 Kínai Köztársaság (ROC);2;0;0;0
 Kirgizisztán (KGZ);6;0;0;0
 Kolumbia (COL);1;0;0;0
 Koszovó (KOS);0;0;0;0
 Kuba (CUB);0;0;0;0
 Kuvait (KUW);0;0;0;0
 Lengyelország (POL);22;6;7;7
 Lettország (LAT);10;0;4;3
 Libanon (LIB);16;0;0;0
 Liechtenstein (LIE);18;2;2;5
 Litvánia (LTU);8;0;0;0
 Luxemburg (LUX);8;0;2;0
 Észak-Macedónia (MKD);5;0;0;0
 Magyarország (HUN);22;1;2;4
 Malajzia (MAS);0;0;0;0
 Marokkó (MAR);6;0;0;0
 Mauritius (MRI);0;0;0;0
 Mexikó (MEX);8;0;0;0
 Moldova (MDA);6;0;0;0
 Mongólia (MGL);13;0;0;0
 Montenegró (MNE);2;0;0;0
 Mozambik (MOZ);0;0;0;0
 Nagy-Britannia (GBR);22;10;4;12
 Namíbia (NAM);0;0;0;0
 NDK (GDR);6;39;36;35
 Németország (GER);11;78;78;53
 Nemzetközi Csapat (ZZX);0;0;0;0
 Niger (NIG);0;0;0;0
 Nigéria (NGR);0;0;0;0
 Norvégia (NOR);22;118;111;100
 NSZK (FRG);6;11;15;13
 Olaszország (ITA);22;37;34;43
 Oroszország (RUS);6;47;38;35
 Örményország (ARM);6;0;0;0
 Pakisztán (PAK);2;0;0;0
 Panama (PAN);0;0;0;0
 Paraguay (PAR);1;0;0;0
 Peru (PER);2;0;0;0
 Portugália (POR);7;0;0;0
 Puerto Rico (PUR);6;0;0;0
 Románia (ROU);20;0;0;1
 Spanyolország (ESP);19;1;0;1
 Srí Lanka (SRI);0;0;0;0
 Suriname (SUR);0;0;0;0
 Svájc (SUI);22;50;40;48
 Svédország (SWE);22;50;40;54
 Szaúd-Arábia (KSA);0;0;0;0
 Szenegál (SEN);5;0;0;0
 Szerbia (SRB);2;0;0;0
 Szerbia és Montenegró (SCG);3;0;0;0
