Helyezés	Idõ	Versenyzõ neve	Születési év	Ország	Versenynap	Férfi/Nõi	Táv	Versenyszám																				
4	02:00.77	ACKMAN Aly	1993	CAN	05/10/2019	nõi	200	gyors																				
8	02:01.25	ACKMAN Aly	1993	CAN	05/10/2019	nõi	200	gyors																				
9	04:24.72	ACKMAN Aly	1993	CAN	06/10/2019	nõi	400	gyors																				
8	08:48.05	ACKMAN Aly	1993	CAN	06/10/2019	nõi	800	gyors																				
2	00:54.18	ANDREW Michael	1999	USA	06/10/2019	férfi	100	hát																				
9	00:27.86	ANDREW Michael	1999	USA	05/10/2019	férfi	50	mell																				
3	00:23.45	ANDREW Michael	1999	USA	06/10/2019	férfi	50	pillangó																				
7	00:23.73	ANDREW Michael	1999	USA	06/10/2019	férfi	50	pillangó																				
1	01:59.02	ANDREW Michael	1999	USA	05/10/2019	férfi	200	vegyes																				
5	02:00.82	ANDREW Michael	1999	USA	05/10/2019	férfi	200	vegyes																				
1	01:59.58	ANDRUSENKO Veronika	1991	RUS	05/10/2019	nõi	200	gyors																				
3	02:00.66	ANDRUSENKO Veronika	1991	RUS	05/10/2019	nõi	200	gyors																				
4	04:00.62	AUBRY David	1996	FRA	05/10/2019	férfi	400	gyors																				
4	08:05.59	AUBRY David	1996	FRA	05/10/2019	férfi	800	gyors																				
4	15:23.13	AUBRY David	1996	FRA	05/10/2019	férfi	1500	gyors																				
9	02:01.55	BACH Helena	2000	DEN	05/10/2019	nõi	200	gyors																				
6	04:21.48	BACH Helena	2000	DEN	06/10/2019	nõi	400	gyors																				
7	08:46.51	BACH Helena	2000	DEN	06/10/2019	nõi	800	gyors																				
10	01:00.49	BACH Helena	2000	DEN	06/10/2019	nõi	100	pillangó																				
7	04:53.81	BACH Helena	2000	DEN	05/10/2019	nõi	400	vegyes																				
7	00:25.33	BALOG Gabor	1990	HUN	05/10/2019	férfi	50	hát																				
4	00:54.77	BALOG Gabor	1990	HUN	06/10/2019	férfi	100	hát																				
10	00:55.70	BALOG Gabor	1990	HUN	06/10/2019	férfi	100	hát																				
2	00:26.02	BECKMANN Emilie	1997	DEN	05/10/2019	nõi	50	pillangó																				
4	00:26.27	BECKMANN Emilie	1997	DEN	05/10/2019	nõi	50	pillangó																				
7	00:59.98	BECKMANN Emilie	1997	DEN	06/10/2019	nõi	100	pillangó																				
2	04:17.53	BELMONTE Mireia	1990	ESP	06/10/2019	nõi	400	gyors																				
1	08:31.42	BELMONTE Mireia	1990	ESP	06/10/2019	nõi	800	gyors																				
8	02:16.11	BELMONTE Mireia	1990	ESP	06/10/2019	nõi	200	vegyes																				
3	04:41.81	BELMONTE Mireia	1990	ESP	05/10/2019	nõi	400	vegyes																				
7	00:57.28	BICZO Bence	1993	HUN	05/10/2019	férfi	100	pillangó																				
1	01:58.67	BICZO Bence	1993	HUN	05/10/2019	férfi	200	pillangó																				
7	02:00.06	BICZO Bence	1993	HUN	05/10/2019	férfi	200	pillangó																				
7	00:27.54	BJERG Tobias	1998	DEN	05/10/2019	férfi	50	mell																				
8	00:27.66	BJERG Tobias	1998	DEN	05/10/2019	férfi	50	mell																				
9	01:50.16	BRZOSKOWSKI Maarten	1995	NED	06/10/2019	férfi	200	gyors																				
5	00:29.69	BURIAN Katalin	1995	HUN	05/10/2019	nõi	50	hát																				
10	00:30.04	BURIAN Katalin	1995	HUN	05/10/2019	nõi	50	hát																				
7	01:01.03	BURIAN Katalin	1995	HUN	05/10/2019	nõi	100	hát																				
9	01:01.34	BURIAN Katalin	1995	HUN	05/10/2019	nõi	100	hát																				
1	02:09.98	BURIAN Katalin	1995	HUN	06/10/2019	nõi	200	hát																				
3	02:12.71	BURIAN Katalin	1995	HUN	06/10/2019	nõi	200	hát																				
6	00:26.49	BUSCH Kim	1998	NED	05/10/2019	nõi	50	pillangó																				
6	00:26.49	BUSCH Kim	1998	NED	05/10/2019	nõi	50	pillangó																				
5	00:59.86	BUSCH Kim	1998	NED	06/10/2019	nõi	100	pillangó																				
1	00:25.47	CAMPBELL Cate	1992	AUS	06/10/2019	nõi	50	gyors																				
4	00:26.13	CAMPBELL Cate	1992	AUS	06/10/2019	nõi	50	gyors																				
1	00:53.00	CAMPBELL Cate	1992	AUS	06/10/2019	nõi	100	gyors																				
6	00:54.51	CAMPBELL Cate	1992	AUS	06/10/2019	nõi	100	gyors																				
3	00:26.14	CAMPBELL Cate	1992	AUS	05/10/2019	nõi	50	pillangó																				
10	00:26.66	CAMPBELL Cate	1992	AUS	05/10/2019	nõi	50	pillangó																				
2	00:26.02	COLEMAN Michelle	1993	SWE	06/10/2019	nõi	50	gyors																				
