ev;varos;orszag;nemzetek_szama;sportolok_szama;versenyszamok;legtobb_erem
1973;Belgrád;Jugoszlávia;47;686;37;Amerikai Egyesült Államok
1975;Cali;Kolumbia;39;682;37;Amerikai Egyesült Államok
1978;Berlin;NSZK;49;828;37;Amerikai Egyesült Államok
1982;Guayaquil;Ecuador;52;848;37;Amerikai Egyesült Államok
1986;Madrid;Spanyolország;34;1119;41;NDK
1991;Perth;Ausztrália;60;1142;45;Amerikai Egyesült Államok
1994;Róma;Olaszország;102;1400;45;Kína
1998;Perth;Ausztrália;121;1371;51;Amerikai Egyesült Államok
2001;Fukuoka;Japán;134;1498;61;Ausztrália
2003;Barcelona;Spanyolország;157;2015;62;Amerikai Egyesült Államok
2005;Montréal;Kanada;144;1784;62;Amerikai Egyesült Államok
2007;Melbourne;Ausztrália;167;2158;65;Amerikai Egyesült Államok
2009;Róma;Olaszország;185;2556;65;Amerikai Egyesült Államok
2011;Sanghaj;Kína;181;2220;66;Amerikai Egyesült Államok
2013;Barcelona;Spanyolország;181;2293;68;Amerikai Egyesült Államok
2015;Kazán;Oroszország;190;2651;75;Kína
2017;Budapest;Magyarország;181;2000;75;Amerikai Egyesült Államok
2019;Kvangdzsu;Dél-Korea;193;2623;76;Kína
