Név;Születési dátum;Csapat
Hernán Galíndez;1987.03.30;ECUADOR
Félix Torres;1997.01.11;ECUADOR
Piero Hincapié;2002.01.09;ECUADOR
Robert Arboleda;1991.10.22;ECUADOR
José Cifuentes;1999.03.12;ECUADOR
William Pacho;2001.10.16;ECUADOR
Pervis Estupiñán;1998.01.21;ECUADOR
Carlos Gruezo;1995.04.19;ECUADOR
Ayrton Preciado;1994.07.17;ECUADOR
Romario Ibarra;1994.09.24;ECUADOR
Michael Estrada;1996.04.07;ECUADOR
Moisés Ramírez;2000.09.09;ECUADOR
Enner Valencia;1989.11.04;ECUADOR
Xavier Arreaga;1994.09.28;ECUADOR
Ángel Mena;1988.01.21;ECUADOR
Jeremy Sarmiento;2002.06.16;ECUADOR
Ángelo Preciado;1998.02.18;ECUADOR
Diego Palacios;1999.07.12;ECUADOR
Gonzalo Plata;2000.11.01;ECUADOR
Sebas Méndez;1997.04.26;ECUADOR
Alan Franco;1998.08.21;ECUADOR
Alexander Domínguez;1987.06.05;ECUADOR
Moisés Caicedo;2001.11.02;ECUADOR
Djorkaeff Reasco;1999.01.18;ECUADOR
Jackson Porozo;2000.08.04;ECUADOR
Kevin Rodríguez;2000.03.04;ECUADOR
Remko Pasveer;1983.11.08;NETHERLANDS
Jurriën Timber;2001.06.17;NETHERLANDS
Matthijs de Ligt;1999.08.12;NETHERLANDS
Virgil van Dijk;1991.07.08;NETHERLANDS
Nathan Aké;1995.02.18;NETHERLANDS
Stefan de Vrij;1992.02.05;NETHERLANDS
Steven Bergwijn;1997.10.08;NETHERLANDS
Cody Gakpo;1999.05.07;NETHERLANDS
Luuk de Jong;1990.08.27;NETHERLANDS
Memphis Depay;1994.02.13;NETHERLANDS
Steven Berghuis;1991.12.19;NETHERLANDS
Noa Lang;1999.06.17;NETHERLANDS
Justin Bijlow;1998.01.22;NETHERLANDS
Davy Klaassen;1993.02.21;NETHERLANDS
Marten de Roon;1991.03.29;NETHERLANDS
Tyrell Malacia;1999.08.17;NETHERLANDS
Daley Blind;1990.03.09;NETHERLANDS
Vincent Janssen;1994.06.15;NETHERLANDS
Wout Weghorst;1992.08.07;NETHERLANDS
Teun Koopmeiners;1998.02.28;NETHERLANDS
Frenkie de Jong;1997.05.12;NETHERLANDS
Denzel Dumfries;1996.04.18;NETHERLANDS
Andries Noppert;1994.04.07;NETHERLANDS
Kenneth Taylor;2002.05.16;NETHERLANDS
Xavi Simons;2003.04.21;NETHERLANDS
Jeremie Frimpong;2000.12.10;NETHERLANDS
Saad Al-Sheeb;1990.02.19;QATAR
Ró-Ró;1990.08.06;QATAR
Abdelkarim Hassan;1993.08.28;QATAR
Mohammed Waad;1999.09.18;QATAR
Tarek Salman;1997.12.05;QATAR
Abdulaziz Hatem;1990.01.01;QATAR
Ahmed Alaaeldin;1993.01.31;QATAR
Ali Assadalla;1993.01.19;QATAR
Mohammed Muntari;1993.12.20;QATAR
Hassan Al-Haydos;1990.12.11;QATAR
Akram Afif;1996.11.18;QATAR
Karim Boudiaf;1990.09.16;QATAR
Musab Kheder;1993.01.01;QATAR
Homam Ahmed;1999.08.25;QATAR
Bassam Al-Rawi;1997.12.16;QATAR
Boualem Khoukhi;1990.07.09;QATAR
Ismaeel Mohammad;1990.04.05;QATAR
Khalid Muneer;1998.02.24;QATAR
Almoez Ali;1996.08.19;QATAR
Salem Al-Hajri;1996.04.10;QATAR
Yousef Hassan;1996.05.24;QATAR
Meshaal Barsham;1998.02.14;QATAR
Assim Madibo;1996.10.22;QATAR
Naif Al-Hadhrami;2001.07.18;QATAR
Jassem Gaber;2002.02.20;QATAR
Mostafa Meshaal;2001.03.28;QATAR
Seny Dieng;1994.11.23;SENEGAL
Formose Mendy;2001.01.02;SENEGAL
Kalidou Koulibaly;1991.06.20;SENEGAL
Pape Abou Cissé;1995.09.14;SENEGAL
Idrissa Gueye;1989.09.26;SENEGAL
Nampalys Mendy;1992.06.23;SENEGAL
Nicolas Jackson;2001.06.20;SENEGAL
Cheikhou Kouyaté;1989.12.21;SENEGAL
Boulaye Dia;1996.11.16;SENEGAL
Moussa N'Diaye;2002.06.18;SENEGAL
Pathé Ciss;1994.03.16;SENEGAL
Fodé Ballo-Touré;1997.01.03;SENEGAL
Iliman Ndiaye;2000.03.06;SENEGAL
Ismail Jakobs;1999.08.17;SENEGAL
Krépin Diatta;1999.02.25;SENEGAL
Édouard Mendy;1992.03.01;SENEGAL
Pape Matar Sarr;2002.09.14;SENEGAL
Ismaïla Sarr;1998.02.25;SENEGAL
Famara Diédhiou;1992.12.15;SENEGAL
Bamba Dieng;2000.03.23;SENEGAL
Youssouf Sabaly;1993.03.05;SENEGAL
Abdou Diallo;1996.05.04;SENEGAL
Alfred Gomis;1993.09.05;SENEGAL
Moustapha Name;1995.05.05;SENEGAL
Mamadou Loum;1996.12.30;SENEGAL
Pape Gueye;1999.01.24;SENEGAL
Jordan Pickford;1994.03.07;ENGLAND
Kyle Walker;1990.05.28;ENGLAND
Luke Shaw;1995.07.12;ENGLAND
Declan Rice;1999.01.14;ENGLAND
John Stones;1994.05.28;ENGLAND
Harry Maguire;1993.03.05;ENGLAND
Jack Grealish;1995.09.10;ENGLAND
Jordan Henderson;1990.06.17;ENGLAND
Harry Kane;1993.07.28;ENGLAND
Raheem Sterling;1994.12.08;ENGLAND
Marcus Rashford;1997.10.31;ENGLAND
Kieran Trippier;1990.09.19;ENGLAND
Nick Pope;1992.04.19;ENGLAND
Kalvin Phillips;1995.12.02;ENGLAND
Eric Dier;1994.01.15;ENGLAND
Conor Coady;1993.02.25;ENGLAND
Bukayo Saka;2001.09.05;ENGLAND
Trent Alexander-Arnold;1998.10.07;ENGLAND
Mason Mount;1999.01.10;ENGLAND
Phil Foden;2000.05.28;ENGLAND
Ben White;1997.10.08;ENGLAND
Jude Bellingham;2003.06.29;ENGLAND
Aaron Ramsdale;1998.05.14;ENGLAND
Callum Wilson;1992.02.27;ENGLAND
James Maddison;1996.11.23;ENGLAND
Conor Gallagher;2000.02.06;ENGLAND
Alireza Beiranvand;1992.09.21;IRAN
Sadegh Moharrami;1996.03.01;IRAN
Ehsan Hajsafi;1990.02.25;IRAN
Shojae Khalilzadeh;1989.05.14;IRAN
Milad Mohammadi;1993.09.29;IRAN
Saeid Ezatolahi;1996.10.01;IRAN
Alireza Jahanbakhsh;1993.08.11;IRAN
