Csapat 1;Csapat 2;Gólok száma (csapat 1);Gólok száma (csapat 2);Dátum;Kategória;Tizenegyes gólok száma (csapat 1);Tizenegyes gólok száma (csapat 2);Sárga lapok száma (csapat 1);Sárga lapok száma (csapat 2);Piros lapok száma (csapat 1);Piros lapok száma (csapat 2);Tizenegyespárbaj gólok száma (csapat 1);Tizenegyespárbaj gólok száma (csapat 2)
QATAR;ECUADOR;0;2;2022.11.20;Group A;0;1;4;2;0;0;0;0
ENGLAND;IRAN;6;2;2022.11.21;Group B;0;1;0;2;0;0;0;0
SENEGAL;NETHERLANDS;0;2;2022.11.21;Group A;0;0;2;1;0;0;0;0
UNITED STATES;WALES;1;1;2022.11.21;Group B;0;1;4;2;0;0;0;0
ARGENTINA;SAUDI ARABIA;1;2;2022.11.22;Group C;1;0;0;6;0;0;0;0
DENMARK;TUNISIA;0;0;2022.11.22;Group D;0;0;2;1;0;0;0;0
MEXICO;POLAND;0;0;2022.11.22;Group C;0;0;2;1;0;0;0;0
FRANCE;AUSTRALIA;4;1;2022.11.22;Group D;0;0;0;3;0;0;0;0
MOROCCO;CROATIA;0;0;2022.11.23;Group F;0;0;1;0;0;0;0;0
GERMANY;JAPAN;1;2;2022.11.23;Group E;1;0;0;0;0;0;0;0
SPAIN;COSTA RICA;7;0;2022.11.23;Group E;1;0;0;2;0;0;0;0
BELGIUM;CANADA;1;0;2022.11.23;Group F;0;0;3;2;0;0;0;0
SWITZERLAND;CAMEROON;1;0;2022.11.24;Group G;0;0;2;1;0;0;0;0
URUGUAY;KOREA REPUBLIC;0;0;2022.11.24;Group H;0;0;1;1;0;0;0;0
PORTUGAL;GHANA;3;2;2022.11.24;Group H;1;0;2;4;0;0;0;0
BRAZIL;SERBIA;2;0;2022.11.24;Group G;0;0;0;3;0;0;0;0
WALES;IRAN;0;2;2022.11.25;Group B;0;0;1;2;1;0;0;0
QATAR;SENEGAL;1;3;2022.11.25;Group A;0;0;3;3;0;0;0;0
NETHERLANDS;ECUADOR;1;1;2022.11.25;Group A;0;0;0;1;0;0;0;0
