Játékos;Ország;Gólok száma;Meccsek száma;Meccsenként
Miroslav Klose;Németország;16;24;
Ronaldo;Brazília;15;19;
Gerd Müller;Németország;14;13;
Just Fontaine;Franciaország;13;6;
Lionel Messi;Argentína;13;26;
Pelé;Brazília;12;14;
Kylian Mbappé;Franciaország;12;14;
Kocsis Sándor;Magyarország;11;5;
Jürgen Klinsmann;Németország;11;17;
Helmut Rahn;Németország;10;10;
Gary Lineker;Anglia;10;12;
Gabriel Batistuta;Argentína;10;12;
Teófilo Cubillas;Peru;10;13;
Thomas Müller;Németország;10;19;
Grzegorz Lato;Lengyelország;10;20;
Ademir;Brazília;9;6;
Eusébio;Portugália;9;6;
Christian Vieri;Olaszország;9;9;
Vavá;Brazília;9;10;
David Villa;Spanyolország;9;12;
Paolo Rossi;Olaszország;9;14;
Jairzinho;Brazília;9;16;
Roberto Baggio;Olaszország;9;16;
Karl-Heinz Rummenigge;Németország;9;19;
Uwe Seeler;Németország;9;21;
Guillermo Stábile;Argentína;8;4;
Leônidas;Brazília;8;5;
Óscar Míguez;Uruguay;8;7;
Harry Kane;Anglia;8;11;
Neymar;Brazília;8;13;
Rivaldo;Brazília;8;14;
Rudi Völler;Németország;8;15;
Diego Maradona;Argentína;8;21;
Cristiano Ronaldo;Portugália;8;22;
Oldřich Nejedlý;Csehország;7;6;
Tichy Lajos;Magyarország;7;8;
Careca;Brazília;7;9;
Johnny Rep;Hollandia;7;13;
Andrzej Szarmach;Lengyelország;7;13;
Hans Schäfer;Németország;7;15;
Luis Suárez;Uruguay;7;16;
Josef Hügi;Svájc;6;3;
Oleg Salenko;Oroszország;6;3;
Sárosi György;Magyarország;6;5;
Max Morlock;Németország;6;5;
Erich Probst;Ausztria;6;5;
Enner Valencia;Ecuador;6;6;
Salvatore Schillaci;Olaszország;6;7;
Davor Šuker;Horvátország;6;8;
James Rodríguez;Kolumbia;6;8;
Helmut Haller;Németország;6;9;
Hristo Stoichkov;Bulgária;6;10;
Diego Forlán;Uruguay;6;10;
Asamoah Gyan;Ghána;6;11;
Dennis Bergkamp;Hollandia;6;12;
Rob Rensenbrink;Hollandia;6;13;
Rivellino;Brazília;6;15;
Bebeto;Brazília;6;15;
Arjen Robben;Hollandia;6;15;
Zbigniew Boniek;Lengyelország;6;16;
Thierry Henry;Franciaország;6;17;
Robin van Persie;Hollandia;6;17;
Wesley Sneijder;Hollandia;6;17;
Ivan Perišić;Horvátország;6;17;
Mario Kempes;Argentína;6;18;
Lothar Matthäus;Németország;6;25;
Pedro Cea;Uruguay;5;4;
Silvio Piola;Olaszország;5;4;
Zsengellér Gyula;Magyarország;5;4;
Peter McParland;Észak-Írország;5;5;
Tomáš Skuhravý;Csehország;5;5;
Juan Alberto Schiaffino;Uruguay;5;6;
Geoff Hurst;Anglia;5;6;
Jon Dahl Tomasson;Dánia;5;6;
Alessandro Altobelli;Olaszország;5;7;
Kennet Andersson;Svédország;5;7;
Fernando Morientes;Spanyolország;5;7;
Romário;Brazília;5;8;
Marc Wilmots;Belgium;5;8;
Mario Mandžukić;Horvátország;5;8;
Valentin Ivanov;Oroszország;5;9;
Emilio Butragueño;Spanyolország;5;9;
Roger Milla;Kamerun;5;9;
Tim Cahill;Ausztrália;5;9;
Hans Krankl;Ausztria;5;10;
Raúl;Spanyolország;5;11;
Garrincha;Brazília;5;12;
Johan Neeskens;Hollandia;5;12;
Fernando Hierro;Spanyolország;5;12;
Zinedine Zidane;Franciaország;5;12;
Landon Donovan;USA;5;12;
Romelu Lukaku;Belgium;5;12;
Xherdan Shaqiri;Svájc;5;12;
Henrik Larsson;Svédország;5;13;
Michel Platini;Franciaország;5;14;
Zico;Brazília;5;14;
Gonzalo Higuaín;Argentína;5;14;
Lukas Podolski;Németország;5;15;
Edinson Cavani;Uruguay;5;17;
Franz Beckenbauer;Németország;5;18;
Olivier Giroud;Franciaország;5;18;
