ev;kategoria;indoklas;dijazott_azon;nev;szemely_nev;szemely_teljes_nev;nem;szuletesi_ev;szuletesi_datum;szuletesi_hely;szervezet_nev;rovidites;alapitas_eve;jelleg;hovatartozas_1;hovatartozas_2;hovatartozas_3;hovatartozas_4
1901;Orvosi;for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths;293;Emil von Behring;Emil von Behring;Emil Adolf von Behring;férfi;;1854-03-15;Európa;;;;Személy;Marburg University, Marburg, Germany;;;
1901;Béke;for his lifelong work for international peace conferences, diplomacy and arbitration;463;Frédéric Passy;Frédéric Passy;Frédéric Passy;férfi;;1822-05-20;Európa;;;;Személy;;;;
1901;Béke;for his humanitarian efforts to help wounded soldiers and create international understanding;462;Henry Dunant;Henry Dunant;Jean Henry Dunant;férfi;;1828-05-08;Európa;;;;Személy;;;;
1901;Kémiai;in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions;160;Jacobus H. van 't Hoff;Jacobus H. van 't Hoff;Jacobus Henricus van 't Hoff;férfi;;1852-08-30;Európa;;;;Személy;Berlin University, Berlin, Germany;;;
1901;Irodalmi;in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect;569;Sully Prudhomme;Sully Prudhomme;Sully Prudhomme;férfi;;1839-03-16;Európa;;;;Személy;;;;
1901;Fizikai;in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him;1;Wilhelm Conrad Röntgen;Wilhelm Conrad Röntgen;Wilhelm Conrad Röntgen;férfi;;1845-03-27;Európa;;;;Személy;Munich University, Munich, Germany;;;
1902;Béke;for his eminently practical administration of the Inter-Parliamentary Union;465;Albert Gobat;Albert Gobat;Charles Albert Gobat;férfi;;1843-05-21;Európa;;;;Személy;;;;
1902;Béke;for his untiring and skilful directorship of the Bern Peace Bureau;464;Élie Ducommun;Élie Ducommun;Élie Ducommun;férfi;;1833-02-19;Európa;;;;Személy;;;;
1902;Kémiai;in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses;161;Emil Fischer;Emil Fischer;Hermann Emil Fischer;férfi;;1852-10-09;Európa;;;;Személy;Berlin University, Berlin, Germany;;;
1902;Fizikai;in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena;2;Hendrik A. Lorentz;Hendrik A. Lorentz;Hendrik Antoon Lorentz;férfi;;1853-07-18;Európa;;;;Személy;Leiden University, Leiden, the Netherlands;;;
1902;Fizikai;in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena;3;Pieter Zeeman;Pieter Zeeman;Pieter Zeeman;férfi;;1865-05-25;Európa;;;;Személy;Amsterdam University, Amsterdam, the Netherlands;;;
1902;Orvosi;for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it;294;Ronald Ross;Ronald Ross;Ronald Ross;férfi;;1857-05-13;Ázsia;;;;Személy;University College, Liverpool, United Kingdom;;;
1902;Irodalmi;the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>;571;Theodor Mommsen;Theodor Mommsen;Christian Matthias Theodor Mommsen;férfi;;1817-11-30;Európa;;;;Személy;;;;
1903;Irodalmi;as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit;572;Bjørnstjerne Bjørnson;Bjørnstjerne Bjørnson;Bjørnstjerne Martinus Bjørnson;férfi;;1832-12-08;Európa;;;;Személy;;;;
1903;Fizikai;in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity;4;Henri Becquerel;Henri Becquerel;Antoine Henri Becquerel;férfi;;1852-12-15;Európa;;;;Személy;École Polytechnique, Paris, France;;;
1903;Fizikai;in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel;6;Marie Curie;Marie Curie;Marie Curie, née Sklodowska;nő;;1867-11-07;Európa;;;;Személy;;;;
1903;Orvosi;in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science;295;Niels Ryberg Finsen;Niels Ryberg Finsen;Niels Ryberg Finsen;férfi;;1860-12-15;Európa;;;;Személy;Finsen Medical Light Institute, Copenhagen, Denmark;;;
1903;Fizikai;in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel;5;Pierre Curie;Pierre Curie;Pierre Curie;férfi;;1859-05-15;Európa;;;;Személy;École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry), Paris, France;;;
1903;Béke;for his longstanding and devoted effort in favour of the ideas of peace and arbitration;466;Randal Cremer;Randal Cremer;William Randal Cremer;férfi;;1828-03-18;Európa;;;;Személy;;;;
1903;Kémiai;in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation;162;Svante Arrhenius;Svante Arrhenius;Svante August Arrhenius;férfi;;1859-02-19;Európa;;;;Személy;Stockholm University, Stockholm, Sweden;;;
1904;Irodalmi;"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist";573;Frédéric Mistral;Frédéric Mistral;Frédéric Mistral;férfi;;1830-09-08;Európa;;;;Személy;;;;
1904;Béke;for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane;467;Institute of International Law;;;;;;;Institute of International Law;;1873;Szervezet;;;;
1904;Orvosi;in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged;296;Ivan Pavlov;Ivan Pavlov;Ivan Petrovich Pavlov;férfi;;1849-09-14;Európa;;;;Személy;Military Medical Academy, St. Petersburg, Russia;;;
1904;Irodalmi;in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama;574;José Echegaray;José Echegaray;José Echegaray y Eizaguirre;férfi;;1832-04-19;Európa;;;;Személy;;;;
1904;Fizikai;for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies;8;Lord Rayleigh;Lord Rayleigh;Lord Rayleigh (John William Strutt);férfi;;1842-11-12;Európa;;;;Személy;Royal Institution of Great Britain, London, United Kingdom;;;
1904;Kémiai;in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system;163;Sir William Ramsay;Sir William Ramsay;Sir William Ramsay;férfi;;1852-10-02;Európa;;;;Személy;University College, London, United Kingdom;;;
1905;Kémiai;in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds;164;Adolf von Baeyer;Adolf von Baeyer;Johann Friedrich Wilhelm Adolf von Baeyer;férfi;;1835-10-31;Európa;;;;Személy;Munich University, Munich, Germany;;;
