Év;Ország;Mennyiség
2022;Németország;3145941
2021;Németország;3574591
2020;Németország;3414989
2019;Németország;4064989
2018;Németország;4768620
2017;Németország;5025540
2016;Németország;4509561
2015;Németország;4928697
2014;Németország;4705993
2013;Németország;4896633
2012;Németország;5480458
2011;Németország;4837608
2010;Németország;5190588
2009;Németország;4037946
2008;Németország;5542906
2022;Franciaország;1641325
2021;Franciaország;1899237
2020;Franciaország;1729367
2019;Franciaország;2139541
2018;Franciaország;2091686
2017;Franciaország;2489760
2016;Franciaország;2245239
2015;Franciaország;2411887
2014;Franciaország;2957449
2013;Franciaország;2534438
2012;Franciaország;2265437
2011;Franciaország;2187275
2010;Franciaország;2035482
2009;Franciaország;1732234
2008;Franciaország;1890873
2022;Olaszország;1215320
2021;Olaszország;1661969
2020;Olaszország;2258061
2019;Olaszország;2522328
2018;Olaszország;2382712
2017;Olaszország;2838711
2016;Olaszország;3762851
2015;Olaszország;3865301
2014;Olaszország;3977164
2013;Olaszország;3690508
2012;Olaszország;3819982
2011;Olaszország;2851284
2010;Olaszország;2724135
2009;Olaszország;2590075
2008;Olaszország;3241401
2022;Hollandia;1396617
2021;Hollandia;1697200
2020;Hollandia;1757976
2019;Hollandia;2058807
2018;Hollandia;2055821
2017;Hollandia;1989389
2016;Hollandia;1904060
2015;Hollandia;2087033
2014;Hollandia;2183821
2013;Hollandia;1835263
2012;Hollandia;2109135
2011;Hollandia;2026029
2010;Hollandia;1604074
2009;Hollandia;1424138
2008;Hollandia;1670838
2022;Belgium;1949322
2021;Belgium;1952106
2020;Belgium;2176503
2019;Belgium;2884861
2018;Belgium;2422988
2017;Belgium;2444083
2016;Belgium;2400036
2015;Belgium;2176620
2014;Belgium;2365511
2013;Belgium;2209949
2012;Belgium;2547056
2011;Belgium;2419893
2010;Belgium;2225811
2009;Belgium;2331183
2008;Belgium;2799137
2022;Luxemburg;518051
2021;Luxemburg;593795
2020;Luxemburg;550543
2019;Luxemburg;70995
2018;Luxemburg;803525
2017;Luxemburg;775977
2016;Luxemburg;836584
2015;Luxemburg;903943
2014;Luxemburg;1000807
