Azonosító;Helyszín;Ország;Kapacitás;Kemencék;Típus
1;Graz;Ausztria;365;1;Ívfényes
2;Kapfenberg;Ausztria;180;1;Ívfényes
3;Mitterdorf;Ausztria;300;1;Ívfényes
4;Charleroi;Belgium;850;1;Ívfényes
5;Charleroi (Marchienne-au-Pont);Belgium;350;1;Ívfényes
6;Chatelet (Chatelineau);Belgium;1200;2;Ívfényes
7;Genk;Belgium;1200;2;Ívfényes
8;Pernik;Bulgária;1000;2;Ívfényes
9;Sisak;Horvátország;350;1;Ívfényes
10;Split;Horvátország;185;1;Ívfényes
11;Ostrava;Csehország;120;1;Ívfényes
12;Plzen;Csehország;150;2;Ívfényes
13;Imatra;Finnország;360;1;Ívfényes
14;Tornio;Finnország;1300;2;Ívfényes
15;Bayonne (Boucau);Franciaország;1200;1;Ívfényes
16;Bonnieres-sur-Seine;Franciaország;550;1;Ívfényes
17;Chateauneuf, R. de;Franciaország;100;1;Ívfényes
18;Giers Fos-sur-Mer;Franciaország;480;1;Ívfényes
19;Gargenville;Franciaország;700;1;Ívfényes
20;Hagondange;Franciaország;460;1;Ívfényes
21;Imphy;Franciaország;90;1;Ívfényes
22;Le Creusot;Franciaország;150;1;Ívfényes
23;Montereau;Franciaország;720;1;Ívfényes
24;Nouvelles Maisons;Franciaország;800;1;Ívfényes
25;St.Saulve;Franciaország;730;1;Ívfényes
26;Trith St Leger;Franciaország;800;1;Ívfényes
27;Ugine;Franciaország;250;2;Ívfényes
28;Bous/Saar;Németország;350;1;Ívfényes
29;Brandenburg;Németország;1800;2;Ívfényes
30;Freital;Németország;90;1;Ívfényes
31;Georgsmarienhuette;Németország;1100;1;Ívfényes
32;Groditz;Németország;100;1;Ívfényes
33;Hamburg;Németország;1100;1;Ívfényes
34;Hennigsdorf;Németország;1000;2;Ívfényes
35;Herbertshofen;Németország;1180;2;Ívfényes
36;Kehl;Németország;2500;2;Ívfényes
37;Lingen;Németország;620;1;Ívfényes
38;Peine;Németország;1000;1;Ívfényes
39;Riesa ;Németország;900;1;Ívfényes
40;Siegen;Németország;600;1;Ívfényes
41;Siegen;Németország;150;1;Ívfényes
42;Unterwellenborn;Németország;1100;1;Ívfényes
43;Völklingen;Németország;300;1;Ívfényes
44;Wetzlar;Németország;400;1;Ívfényes
45;Witten;Németország;480;1;Ívfényes
46;Almyros-Magnesia;Görögország;400;1;Ívfényes
47;Aspropyrgos;Görögország;400;1;Ívfényes
48;Elefsina;Görögország;800;1;Ívfényes
49;Thessaloniki;Görögország;600;1;Ívfényes
50;Velestino;Görögország;450;1;Ívfényes
51;Ozd;Magyarország;400;1;Ívfényes
52;Bolzano;Olaszország;200;2;Ívfényes
53;Aosta;Olaszország;260;1;Ívfényes
54;Borgo Valsugana, TN;Olaszország;600;1;Ívfényes
55;Bréno, BS;Olaszország;100;1;Ívfényes
56;Brescia, BS;Olaszország;1200;2;Ívfényes
57;Brescia, BS;Olaszország;650;1;Ívfényes
58;Camin, Padova;Olaszország;600;1;Ívfényes
59;Caronno, VA;Olaszország;780;1;Ívfényes
60;Catania, Szicília;Olaszország;500;1;Ívfényes
61;Cividate al Piano, BG;Olaszország;250;2;Ívfényes
62;Cremona;Olaszország;3850;2;Ívfényes
63;Dalmine, BG;Olaszország;700;1;Ívfényes
64;Lesegno, CN;Olaszország;600;1;Ívfényes
65;Lonato, BS;Olaszország;1100;1;Ívfényes
66;Lonato, BS;Olaszország;600;1;Ívfényes
67;Lovere, BG;Olaszország;150;1;Ívfényes
68;Odolo, BS;Olaszország;900;1;Ívfényes
69;Osoppo, UD;Olaszország;2200;1;Ívfényes
70;Ospitaletto, BS;Olaszország;150;1;Ívfényes
71;San Zeno Naviglio, BS;Olaszország;800;1;Ívfényes
72;Sarezzo, BS;Olaszország;540;1;Ívfényes
73;Terni;Olaszország;1450;2;Ívfényes
74;Udine;Olaszország;500;1;Ívfényes
75;Udine;Olaszország;770;1;Ívfényes
