Év;Ország;Mennyiség
2022;Németország;7587
2021;Németország;860805
2020;Németország;926265
2019;Németország;1056743
2018;Németország;1510806
2017;Németország;1439593
2016;Németország;1493291
2015;Németország;1563380
2014;Németország;1370913
2013;Németország;1441912
2012;Németország;1472065
2011;Németország;1855013
2010;Németország;1559093
2009;Németország;1245969
2008;Németország;2098120
2022;Franciaország;357179
2021;Franciaország;378664
2020;Franciaország;371848
2019;Franciaország;505555
2018;Franciaország;532545
2017;Franciaország;54016
2016;Franciaország;454419
2015;Franciaország;527737
2014;Franciaország;622439
2013;Franciaország;711903
2012;Franciaország;495682
2011;Franciaország;662843
2010;Franciaország;666978
2009;Franciaország;55917
2008;Franciaország;694723
2022;Olaszország;6441607
2021;Olaszország;6246465
2020;Olaszország;4568535
2019;Olaszország;5710105
2018;Olaszország;6285364
2017;Olaszország;5656117
2016;Olaszország;6067869
2015;Olaszország;6476696
2014;Olaszország;4068264
2013;Olaszország;3432070
2012;Olaszország;2545441
2011;Olaszország;5025557
2010;Olaszország;4000535
2009;Olaszország;3001217
2008;Olaszország;5808790
2022;Hollandia;1445084
2021;Hollandia;1675401
2020;Hollandia;1188190
2019;Hollandia;1275951
2018;Hollandia;1349074
2017;Hollandia;1148714
2016;Hollandia;1213822
2015;Hollandia;721339
2014;Hollandia;63007
2013;Hollandia;556108
2012;Hollandia;480277
2011;Hollandia;585064
2010;Hollandia;62318
2009;Hollandia;679154
2008;Hollandia;1227352
2022;Belgium;4906669
2021;Belgium;5079164
2020;Belgium;2567743
2019;Belgium;3545594
2018;Belgium;4768985
2017;Belgium;4379145
2016;Belgium;4102453
2015;Belgium;3158288
2014;Belgium;2247690
2013;Belgium;2228758
2012;Belgium;2002638
2011;Belgium;3321891
2010;Belgium;2012837
2009;Belgium;1595152
2008;Belgium;4284201
2022;Luxemburg;798
2021;Luxemburg;1607
2020;Luxemburg;1423
2019;Luxemburg;1424
2018;Luxemburg;4628
2017;Luxemburg;8734
2016;Luxemburg;6595
2015;Luxemburg;15273
2014;Luxemburg;14995
2013;Luxemburg;13493
2012;Luxemburg;4396
2011;Luxemburg;2595
2010;Luxemburg;3192
2009;Luxemburg;4707
2008;Luxemburg;2552
2022;Írország;444633
2021;Írország;44566
2020;Írország;390909
2019;Írország;475704
2018;Írország;403672
2017;Írország;355838
2016;Írország;326584
2015;Írország;369924
2014;Írország;273668
2013;Írország;242874
2012;Írország;246275
2011;Írország;248033
2010;Írország;259886
2009;Írország;229224
2008;Írország;576069
2022;Dánia;280295
2021;Dánia;298457
2020;Dánia;337357
2019;Dánia;282367
2018;Dánia;32625
2017;Dánia;284193
2016;Dánia;32358
2015;Dánia;306363
2014;Dánia;232011
2013;Dánia;229718
2012;Dánia;221659
2011;Dánia;217202
2010;Dánia;129737
2009;Dánia;226613
2008;Dánia;436571
2022;Svédország;43494
2021;Svédország;488703
2020;Svédország;505787
2019;Svédország;508729
2018;Svédország;522345
2017;Svédország;538979
2016;Svédország;49974
2015;Svédország;499653
2014;Svédország;473964
2013;Svédország;440425
2012;Svédország;473216
2011;Svédország;505711
2010;Svédország;428389
2009;Svédország;365513
2008;Svédország;471208
2022;Finnország;192507
2021;Finnország;250577
2020;Finnország;222402
2019;Finnország;260449
2018;Finnország;270207
2017;Finnország;25213
2016;Finnország;252607
2015;Finnország;240701
2014;Finnország;235907
2013;Finnország;225117
2012;Finnország;241
2011;Finnország;243407
2010;Finnország;215617
2009;Finnország;181013
2008;Finnország;264719
2022;Ausztria;210303
2021;Ausztria;144698
2020;Ausztria;12827
2019;Ausztria;188415
