Ország;Csatlakozás;Népesség;Terület
Ausztria;1995;8926000;83855
Belgium;1957;11566041;30528
Bulgária;2007;6916548;110994
Horvátország;2013;4036355;56594
Ciprus;2004;896000;9251
Csehország;2004;10574153;78866
Dánia;1973;5833883;43075
Észtország;2004;1330068;45227
Finnország;1995;5527493;338424
Franciaország;1957;67439614;632833
Németország;1957;83120520;357386
Görögország;1981;10682547;131990
Magyarország;2004;9730772;93030
Írország;1973;5006324;70273
Olaszország;1957;59862348;301338
Lettország;2004;1893223;64589
Litvánia;2004;2795680;65200
Luxemburg;1957;633347;2586
Portugália;1986;10298252;92212
Románia;2007;19186201;238391
Szlovákia;2004;5459781;49035
Szlovénia;2004;2108977;20273
Spanyolország;1986;47394223;504030
Svédország;1995;10370000;449964
Málta;2004;516100;316
Hollandia;1957;17614840;41543
Lengyelország;2004;37840001;312685
