Év;Ország;Mennyiség
2022;Németország;36860097
2021;Németország;40241173
2020;Németország;35679466
2019;Németország;39627347
2018;Németország;42434683
2017;Németország;43297155
2016;Németország;42079948
2015;Németország;42675689
2014;Németország;42942992
2013;Németország;42644502
2012;Németország;42661117
2011;Németország;44283948
2010;Németország;43830342
2009;Németország;32670413
2008;Németország;45832573
2022;Franciaország;12234497
2021;Franciaország;13946727
2020;Franciaország;11595698
2019;Franciaország;14450764
2018;Franciaország;15384773
2017;Franciaország;15505621
2016;Franciaország;14413355
2015;Franciaország;14984133
2014;Franciaország;16143449
2013;Franciaország;15685350
2012;Franciaország;15607280
2011;Franciaország;15780072
2010;Franciaország;15413577
2009;Franciaország;12840108
2008;Franciaország;17879161
2022;Olaszország;21598644
2021;Olaszország;24412044
2020;Olaszország;20379131
2019;Olaszország;23190364
2018;Olaszország;24495768
2017;Olaszország;24007206
2016;Olaszország;23312110
2015;Olaszország;21957578
2014;Olaszország;23714382
2013;Olaszország;24093177
2012;Olaszország;27251537
2011;Olaszország;28734772
2010;Olaszország;25750229
2009;Olaszország;19847907
2008;Olaszország;30589744
2022;Hollandia;6142968
2021;Hollandia;6620401
2020;Hollandia;6053724
2019;Hollandia;6656866
2018;Hollandia;6813038
2017;Hollandia;6781323
2016;Hollandia;6916658
2015;Hollandia;6995138
2014;Hollandia;6964460
2013;Hollandia;6713274
2012;Hollandia;6879494
2011;Hollandia;6937397
2010;Hollandia;6650943
2009;Hollandia;5193786
2008;Hollandia;6853488
2022;Belgium;7030372
2021;Belgium;6909288
2020;Belgium;6119183
2019;Belgium;7759543
2018;Belgium;7980440
2017;Belgium;7842349
2016;Belgium;7687260
2015;Belgium;7257140
2014;Belgium;7330670
2013;Belgium;7092659
2012;Belgium;7301409
2011;Belgium;8025769
2010;Belgium;7973024
2009;Belgium;5635367
2008;Belgium;10672899
2022;Luxemburg;1874792
2021;Luxemburg;2073068
2020;Luxemburg;1886404
2019;Luxemburg;2119284
2018;Luxemburg;2227981
2017;Luxemburg;2171697
2016;Luxemburg;2175411
2015;Luxemburg;2127128
2014;Luxemburg;2192762
2013;Luxemburg;2088994
2012;Luxemburg;2208173
2011;Luxemburg;2521210
2010;Luxemburg;2548077
2009;Luxemburg;2141483
2008;Luxemburg;2581641
2022;Svédország;4381996
2021;Svédország;4656687
2020;Svédország;4383495
2019;Svédország;4699150
2018;Svédország;4632240
2017;Svédország;4691867
2016;Svédország;4595478
2015;Svédország;4348444
2014;Svédország;4514173
2013;Svédország;4371531
2012;Svédország;4288985
2011;Svédország;4829463
2010;Svédország;4817261
2009;Svédország;2778447
2008;Svédország;5163780
2022;Finnország;3538200
2021;Finnország;4339700
2020;Finnország;3497600
2019;Finnország;3473300
2018;Finnország;4146300
2017;Finnország;4003200
2016;Finnország;4101200
2015;Finnország;3988300
2014;Finnország;3807400
2013;Finnország;3516600
2012;Finnország;3759200
2011;Finnország;3985700
2010;Finnország;4029500
2009;Finnország;3078000
2008;Finnország;4417900
2022;Ausztria;7512242
2021;Ausztria;7884019
