Elem	Vegyjel	Rendszám	Atomtömeg	Sűrűség	Olvadáspont	Forráspont	Izotópok száma	Felfedező	Felfedezés éve
  Aktínium	Ac	89	227	10	1050	3198	11	Debierne	1899
  Alumínium	Al	13	26,982	2,7	660,47	2519	8	Wöhler	1827
  Amerícium	Am	95	243	12	1176	2607	133	Seaborg et al.	1944
  Antimon	Sb	51	121,76	6,697	630,78	1587	29	Early historic times	-
  Arany	Au	79	196,97	19,3	1064,33	2856	21	-	-
  Argon	Ar	18	39,95	0,001784	-189,2	-185,7	8	Rayleigh and Ramsay	1894
  Arzén	As	33	74,922	5,727	817	614	14	Albertus Magnus	1250?
  Asztácium	At	85	210	8,93	302	337	21	Corson et al.	1940
  Bárium	Ba	56	137,33	3,51	727	1897	25	Davy	1808
  Berillium	Be	4	9,0122	1,85	1287	2469	6	Vauquelin	1798
  Berkélium	Bk	97	247	14,78	986	2627	83	Seaborg et al.	1949
  Bizmut	Bi	83	208,98	9,78	271,7	1564	19	Geoffroy	1753
  Bór	B	5	10,81	2,34	2076	3927	6	Gay-Lussac and	1808
									Thénard; Davy	
  Bórium	Bh	107	270	26,5	-	-	-	Armbruster and Münzenberg	1981
  Bróm	Br	35	79,904	3,1028	-7,2	59	19	Balard	1826
  Cérium	Ce	58	140,12	6,77	795	3443	19	Berzelius and	1803
									Hisinger; Klaproth	
  Cézium	Cs	55	132,91	1,93	28,59	671	22	Bunsen and Kirchoff	1860
  Cink	Zn	30	65,38	7,14	419,88	907	15	-	-
  Cirkónium	Zr	40	91,224	6,52	1855	4409	20	Klaproth	1789
  Diszprózium	Dy	66	162,5	8,54	1407	2567	21	Boisbaudran	1886
  Dubnium	Db	105	268	-21,6	-	-	-	Ghiorso et al,	1970
  Einsteinium	Es	99	252	8,84	860	-1542	123	Ghiorso et al,	1952
  Erbium	Er	68	167,26	9,066	1529	2868	16	Mosander	1843
  Európium	Eu	63	151,96	5,244	826	1529	21	Demarcay	1896
  Ezüst	Ag	47	107,87	10,49	961,93	2162	27	-	-
  Fermium	Fm	100	257	9,7	852	-	103	Ghiorso et al,	1953
  Fluor	F	9	18,998	0,001696	-219,47	-187,97	6	Moissan	1886
  Foszfor	P	15	30,974	1,823	44,3	277	7	Brand	1669
