ssz	Z	N	E
1	26	30	9.153567
2	28	34	9.147877
3	28	32	9.145862
4	26	32	9.142938
5	24	28	9.137037
6	26	31	9.127119
7	27	32	9.126046
8	24	30	9.125633
9	28	33	9.124129
10	25	30	9.120611
11	28	36	9.119754
12	30	36	9.115258
13	24	29	9.114435
14	29	34	9.112272
15	29	36	9.106154
16	30	38	9.100845
17	22	28	9.099861
18	23	28	9.094884
19	30	37	9.084468
20	22	26	9.081488
21	32	40	9.079465
22	32	38	9.079372
23	31	38	9.076078
24	38	50	9.070438
25	32	42	9.063522
26	22	27	9.062323
27	34	42	9.061485
28	31	40	9.059218
29	34	44	9.058842
30	40	50	9.057631
31	39	50	9.056743
32	38	48	9.05416
33	36	46	9.054126
34	36	48	9.052649
35	32	41	9.048006
36	38	49	9.046964
37	33	42	9.045093
38	36	44	9.044984
39	34	43	9.040153
40	37	48	9.037998
41	40	51	9.037156
42	36	47	9.034966
43	35	44	9.03422
44	35	46	9.033979
45	40	52	9.032783
46	22	24	9.030532
47	22	25	9.027336
48	20	24	9.013793
49	42	52	9.011856
50	41	52	9.009051
51	42	54	8.996229
52	42	53	8.994564
53	20	22	8.989116
54	18	20	8.98487
55	21	24	8.983945
56	42	55	8.973806
57	44	54	8.971572
58	20	23	8.964551
59	44	56	8.963517
60	44	55	8.956348
61	16	18	8.951675
62	18	22	8.947325
63	44	58	8.944837
64	44	57	8.942117
65	19	22	8.938623
66	19	20	8.938174
67	46	58	8.930847
68	17	20	8.92976
69	45	58	8.92591
70	16	20	8.923108
71	46	60	8.91946
72	46	59	8.913356
73	17	18	8.900285
74	46	62	8.900253
75	47	60	8.897514
76	48	62	8.892718
77	14	16	8.885761
78	47	62	8.8853
79	16	16	8.884318
80	16	17	8.876964
81	15	16	8.859744
82	14	14	8.838935
83	14	15	8.826327
84	48	64	8.880077
85	48	63	8.875445
86	50	64	8.865722
87	49	64	8.862212
88	50	66	8.860362
89	50	65	8.854249
90	50	68	8.848073
91	50	67	8.843977
92	50	70	8.830537
93	50	69	8.828201
94	51	70	8.811783
95	52	70	8.811606
96	52	72	8.801364
97	51	72	8.796727
98	52	74	8.786126
99	52	73	8.783505
100	54	74	8.773359
101	53	74	8.771981
102	54	76	8.762725
103	54	75	8.758904
104	54	78	8.747695
105	54	77	8.746253
106	56	78	8.735133
107	55	78	8.733515
108	56	80	8.724908
109	56	79	8.722072
110	56	81	8.711628
111	56	82	8.710904
112	13	14	8.708242
113	58	82	8.700494
114	57	82	8.698892
115	12	14	8.694981
116	59	82	8.681405
117	60	82	8.676646
118	12	12	8.651911
119	12	13	8.599047
120	64	92	8.536342
121	64	93	8.522478
122	64	94	8.518775
123	65	94	8.50868
124	11	12	8.485675
125	66	97	8.478607
126	66	98	8.473604
127	10	12	8.436087
128	10	10	8.423422
129	8	8	8.36739
130	10	11	8.34428
131	9	10	8.149612
132	8	9	8.118904
133	8	10	8.114744
134	6	6	8.071327
135	7	8	8.064594
136	7	7	7.866827
137	6	7	7.830943
138	2	2	7.465077
139	5	6	7.283337
140	5	5	6.866257
141	4	5	6.810483
142	3	4	5.941599
143	3	3	5.723527
144	2	1	3.094327
145	1	1	1.503327
146	1	0	0.782327
147	34	46	9.043326
148	36	50	9.039532
149	38	46	9.031375
150	46	56	8.933337
151	44	60	8.918337
152	18	18	8.911105
153	50	72	8.80859
154	60	83	8.658792
155	62	88	8.585043
156	62	90	8.563227
157	64	90	8.549985
158	64	91	8.536341
159	68	96	8.473462
160	67	98	8.464689
161	68	98	8.462482
162	68	99	8.45035
163	68	100	8.446308
164	69	100	8.433931
165	70	100	8.428792
166	70	101	8.418182
167	70	102	8.415864
168	70	103	8.404023
169	70	104	8.398624
170	71	104	8.386589
171	73	108	8.338961
172	75	110	8.308204
173	77	114	8.263508
174	78	116	8.250519
175	77	116	8.250259
176	78	117	8.239516
177	78	118	8.237896
178	79	118	8.229404
179	80	118	8.227663
180	80	119	8.219805
181	80	120	8.218848
182	80	121	8.208956
183	80	122	8.206703
184	81	122	8.19823
185	80	124	8.192358
186	81	124	8.187526
187	20	20	8.942485
188	74	110	8.319737
189	74	108	8.336424
190	82	126	8.175888
191	82	124	8.186791
192	54	72	8.77901
193	82	125	8.179791
194	52	68	8.816369
195	48	58	8.893327
196	54	80	8.728973
197	28	30	9.109736
198	74	109	8.324699
199	26	28	9.11304
200	56	76	8.741288
201	46	64	8.8745
202	42	50	9.01486
203	82	122	8.194414
204	50	62	8.862944
205	44	52	8.967911
206	76	116	8.258202
207	78	120	8.222378
208	64	96	8.496009
209	62	82	8.640577
210	76	114	8.275045
211	30	34	9.102634
212	34	40	9.047175
213	74	112	8.299873
214	30	40	9.065109
215	76	112	8.290138
216	60	88	8.594388
217	58	84	8.666666
218	72	107	8.353293
219	80	116	8.23371
220	62	92	8.541857
221	60	86	8.625649
222	24	26	9.076517
223	72	106	8.365958
224	72	105	8.370139
225	66	90	8.523443
226	63	90	8.550893
227	72	108	8.34793
228	48	60	8.897735
229	68	102	8.424945
230	58	80	8.705878
231	72	104	8.381427
232	20	26	9.009047
233	70	106	8.375271
234	40	54	8.999698
235	50	74	8.782914
236	66	96	8.492234
237	58	78	8.707122
238	48	66	8.860985
239	52	71	8.796302
240	60	85	8.632963
241	78	114	8.260353
242	73	107	8.342767
243	66	95	8.494067
244	66	94	8.506816
245	76	113	8.277599
246	76	111	8.291746
247	62	87	8.589058
248	66	92	8.516973
249	68	94	8.480852
250	70	98	8.437845
251	42	56	8.970426
252	52	76	8.743261
253	54	70	8.778264
254	36	42	9.022349
255	54	82	8.706805
256	32	44	9.034656
257	56	74	8.742574
258	34	48	9.017596
259	20	28	8.992452
260	48	68	8.836146
261	83	126	8.158689
262	40	56	8.961359
263	52	78	8.766578
264	60	90	8.562594
265	42	58	8.933167
266	63	88	8.565759
267	74	106	8.347127
268	23	27	9.055759
269	72	102	8.392287
270	48	65	8.859372
271	62	86	8.607423
272	60	84	8.652947
273	76	110	8.302508
274	49	66	8.84991
275	64	88	8.562868
276	76	108	8.31185
277	78	112	8.267764
278	62	85	8.610593
279	57	81	8.69832
280	37	50	9.043718
281	75	112	8.291732
282	71	105	8.374665
283	90	142	7.918533
284	92	146	7.872551
285	19	21	8.909707
286	92	143	7.897198
287	62	84	8.626136
288	94	150	7.826221
289	41	51	9.01098
290	92	144	7.89147
291	82	123	8.187279
292	53	76	8.757397
293	96	151	7.806008
294	72	110	8.324399
295	46	61	8.897197
296	43	54	8.970503
297	43	55	8.953246
298	25	28	9.103175
299	26	34	9.094861
300	83	127	8.140473
301	93	144	7.881989
302	64	86	8.576454
303	40	53	9.008069
304	4	6	6.810657
305	66	88	8.528457
306	55	80	8.720082
307	13	13	8.540954
308	94	148	7.845218
309	83	125	8.162049
310	96	152	7.799586
311	17	19	8.89138
312	34	45	9.03231
313	92	142	7.908308
314	50	76	8.754026
315	36	45	9.030513
316	43	56	8.953379
317	75	111	8.295958
318	92	141	7.912873
319	93	143	7.887514
320	20	21	8.928347
321	28	31	9.107863
322	90	140	7.937136
323	57	80	8.707101
324	82	120	8.199714
325	91	140	7.926627
326	94	145	7.868022
327	41	53	8.990099
328	96	149	7.822329
329	96	154	7.779371
330	95	148	7.836035
331	90	139	7.942127
332	94	146	7.862465
333	6	8	7.85562
334	96	150	7.816781
335	67	96	8.478591
336	42	51	9.004693
337	88	138	7.966597
338	97	150	7.806182
339	67	99	8.451273
340	98	153	7.775969
341	41	50	9.023327
342	80	114	8.237271
343	47	61	8.881439
344	95	146	7.851676
345	98	151	7.791305
346	97	151	7.796811
347	18	21	8.923686
348	77	115	8.251875
349	65	93	8.511055
350	95	147	7.841913
351	14	18	8.823856
352	84	125	8.149633
353	28	35	9.11121
354	62	89	8.565251
355	94	144	7.877358
356	64	84	8.586706
357	65	92	8.522096
358	92	140	7.922143
359	22	22	8.924702
360	78	115	8.249965
361	50	71	8.808499
362	63	87	8.569974
363	18	24	8.890923
364	83	124	8.168209
365	72	106	
366	55	82	8.703047
367	96	147	7.836004
368	38	52	9.026239
369	82	128	8.141462
370	89	138	7.957447
371	96	148	7.831763
372	61	84	8.631838
373	41	52	
374	94	147	7.85159
375	48	65	
376	63	89	8.550897
377	98	152	7.78664
378	1	2	3.087994
379	36	49	9.029919
380	56	77	8.729624
381	63	91	8.5372
382	76	118	8.238508
383	88	140	7.94439
384	61	85	8.615574
385	27	33	9.098811
386	63	92	8.534711
387	81	123	8.190671
388	71	103	8.390726
389	45	56	8.936753
390	45	57	8.92068
391	84	124	8.155315
392	94	142	7.889536
393	51	74	8.777367
394	26	29	9.116407
395	98	154	7.769605
396	61	86	8.609068
397	11	11	8.306891
398	55	79	8.719768
399	69	102	8.41762
400	90	138	7.953906
401	72	100	8.399252
402	73	106	8.352703
403	71	102	8.400147
404	99	153	7.764621
405	48	61	8.883327
406	93	142	7.896669
407	44	62	8.885686
408	61	83	8.636751
409	62	83	8.62759
410	98	150	7.800198
411	97	152	7.790805
412	23	26	9.05004
413	25	29	9.100131
414	50	69	
