dal_azon;cim;hely_azon;hangszer1;hangszer2;hangszer3;hangszer4;hangszer5;hangszer6;hangszer7;hangszer8;mufaj1;mufaj2;mufaj3;mufaj4;tanc;felvetel_azon;youtube_id;kezdete;vege
1;abelokoutsoura;1;Voice;Violin;Santouri;Laouto;;;;;Traditional;Nisiotiko;Aegean;;0;1;Zy8tjrTf4sg;2819;2986
2;ach-annio-mou-syrtos-banas-i-cheriatkos-trapanistos;62;Voice;Tsampouna;Percussion;Accordion;;;;;Traditional;Thracian;;;1;2;vLTBEHw011s;5481;5638
3;ach-ellada;;Voice;Piano;Guitar;Bouzouki;Bass;Accordion;;;Laiko;;;;0;3;cKXi8_5_Rd4;3795;4024
4;adramytiano-zeimbekiko-2;2;Violin;Trumpet;Trombone;Santouri;Percussion;Klarino;;;Traditional;Nisiotiko;Aegean;;1;4;mp1pK6b1Oho;2551;2688
5;aerinos;63;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Central-Greek;;;1;5;00SbCAkyXhQ;44;201
6;afino-geia-sti-geitonia;64;Voice;Violin;Tambouras;Santouri;Percussion;Oud;Laouto;Klarino;Traditional;Macedonian;;;0;6;6ZDyC-wpRXM;1258;1488
7;afousis-kasos;3;Voice;Violin;Santouri;Percussion;Laouto;;;;Traditional;Nisiotiko;Aegean;;0;7;U6oWHEVNvfY;3540;3668
8;afta-ta-oraia-matia-sou;4;Voice;Violin;Guitar;Accordion;;;;;Traditional;Nisiotiko;Ionian;;1;8;t60GoECE0p8;4840;4971
9;aftalikos;5;Violin;Santouri;Percussion;Laouto;;;;;Traditional;Nisiotiko;Aegean;;1;9;_mUIVNdIJFU;5931;6120
10;aftalikos-2;5;Violin;Percussion;Oud;Klarino;Kanonaki;;;;Traditional;Nisiotiko;Aegean;;1;10;J-PqcxTXtp4;4126;4340
11;aftalikos-3;65;Violin;Tambouras;Santouri;Percussion;Oud;Klarino;;;Traditional;Mikrasiatiko;;;1;11;kJl_glSyJMo;1886;2091
12;aftos-o-allos;;Voice;Violin;Piano;Guitar;Bass;Accordion;;;Urban-folk;Urban-light;;;0;12;Desg3iWdxGU;2348;2558
13;aganta-gialessa-tsimarista-disticha;6;Voice;Violin;Laouto;;;;;;Traditional;Nisiotiko;Aegean;;0;13;-Lae0QmE15A;3701;3822
14;agapisa-melachrino;7;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Epirotic;;;0;14;KzKkszPd-eM;4176;4370
15;agapiso;66;Voice;Percussion;Guitar;Accordion;;;;;Traditional;Southern-Italian;;;1;15;l2gUntzxeVc;931;1096
16;agapo-mia-pantremeni;65;Voice;Violin;Santouri;Percussion;Oud;Kanonaki;Guitar;;Traditional;Mikrasiatiko;;;1;16;5fJXkyrSxo4;6327;6535
17;agia-mou-panagia-mou;2;Voice;Violin;Santouri;Percussion;Oud;Laouto;Guitar;;Traditional;Nisiotiko;Aegean;;1;17;mp1pK6b1Oho;6330;6622
18;agia-paraskevi-mou;67;Voice;Violin;Santouri;Laouto;;;;;Traditional;Nisiotiko;Aegean;;1;18;jpktBKou-_E;5070;5265
19;agiothodoritiko;63;Violin;Percussion;Laouto;Klarino;Guitar;;;;Traditional;Central-Greek;;;1;19;GIOAt5GHt3I;4848;5065
20;agiothodoritissa;;Voice;Violin;Santouri;Percussion;Laouto;Guitar;;;Rebetiko;;;;1;20;0cj8BNcAhg4;2632;2853
21;agouros;68;Voice;Violin;Percussion;Laouto;Klarino;Guitar;;;Traditional;Thessalic;;;1;21;GIOAt5GHt3I;3891;4008
22;agouros-petra-pelekaei;69;Voice;Violin;Percussion;Laouto;Klarino;;;;Traditional;Peloponnesian;;;1;22;6bLFhgwoKsY;3617;3860
23;ah-o-mpaglamas;;Voice;Guitar;Bouzouki;Bass;Accordion;;;;Laiko;;;;0;23;vl46xtCpsEw;2935;3210
24;ai-nigias;8;Voice;Violin;Santouri;Laouto;;;;;Traditional;Nisiotiko;Aegean;;0;24;jpktBKou-_E;946;1170
25;ai-nilias;9;Voice;Violin;Santouri;Laouto;;;;;Traditional;Nisiotiko;Aegean;;1;25;EoJoqvZukgw;571;819
26;aidin;10;Tsumbus;Percussion;Klarino;Bass;;;;;Traditional;Macedonian;;;1;26;g4hypPA6D9Y;4568;4753
