hely_azon;helyszin;resze;szelesseg;hosszusag
1;Icaria;67;37.600502446388;25.564763646019834
2;Lesbos;67;39.23867882632123;25.564763646019834
3;Kasos;67;35.3962719867034;25.564763646019834
4;Corfu;70;39.65199074735927;20.675489887943545
5;Chios;67;38.42426026626016;25.564763646019834
6;Kalymnos;67;36.987573229226555;25.564763646019834
7;Deropolis;71;39.957412525980494;20.826263473906028
8;Sifnos;67;36.983851358131275;25.564763646019834
9;Folegandros;67;36.61960272637237;25.564763646019834
10;Serres;64;41.08508489943737;23.22153108200181
11;Grevena;64;40.08538883719564;23.22153108200181
12;Metsovo;71;39.77279687831799;20.826263473906028
13;Smyrni;65;38.40759370339183;26.521702731335296
14;Aivali;65;39.3374405113661;26.521702731335296
15;Arta;71;39.16897594931634;20.826263473906028
16;Zagori;71;39.86483576229186;20.826263473906028
17;Pogoni;71;39.957398151152326;20.826263473906028
18;Amorgos;67;36.85473066390222;25.564763646019834
19;Poli;65;41.01536713612946;26.521702731335296
20;Kalavryta;69;38.02253753321499;22.362045452582027
21;Halkidiki;64;40.092861562796394;23.22153108200181
22;Naxos;67;37.05683517815581;25.564763646019834
23;Zakynthos;70;37.772294002104616;20.675489887943545
24;Samos;67;37.740408557878254;25.564763646019834
25;Rhodes;67;36.2575388880633;25.564763646019834
26;Arcadia;69;37.521613336357674;22.362045452582027
27;Kozani;64;40.30224449405656;23.22153108200181
28;Mykonos;67;37.45388585367811;25.564763646019834
29;Syrrako;71;39.59709819947839;20.826263473906028
30;Paros;67;37.059547738452586;25.564763646019834
31;Andros;67;37.8542888035967;25.564763646019834
32;Kos;67;36.85248114414557;25.564763646019834
33;Samothrace;67;40.45252632651164;25.564763646019834
34;Leros;67;37.14755671861759;25.564763646019834
35;West-Crete;72;35.37370218378025;25.024171535651924
36;Himara;71;40.108490501738515;20.826263473906028
37;Cappadocia;65;38.33834045423469;26.521702731335296
38;Konitsa;71;40.05962666536191;20.826263473906028
39;Preveza;71;38.9756137452637;20.826263473906028
40;Tzoumerka;71;39.55169755959794;20.826263473906028
41;Cephalonia;70;38.249056889576;20.675489887943545
42;Skyros;67;38.84362114459277;25.564763646019834
43;Drama;64;41.15488878161416;23.22153108200181
44;Mesologgi;63;38.387336454795125;22.319114372276747
45;Aegina;67;37.733981191191496;25.564763646019834
46;Kea;67;37.62129704977236;25.564763646019834
47;Halki;67;36.230046698760496;25.564763646019834
48;Kythnos;67;37.39231040529914;25.564763646019834
49;East-Crete;72;35.116887239871645;25.024171535651924
50;Karpathos;67;35.54990626918364;25.564763646019834
51;Trikala;68;39.59602373089152;22.421756857721853
52;Lemnos;67;39.91340211415133;25.564763646019834
53;Lefkada;70;38.7332444237949;20.675489887943545
54;Kilkis;64;40.990660554392974;23.22153108200181
55;Arachova;63;38.508770731432534;22.319114372276747
56;Kastoria;64;40.52369027923905;23.22153108200181
57;Napoli;66;40.845913556533304;14.488217381442661
58;Thessaloniki;64;40.62282153764636;23.22153108200181
59;Serifos;67;37.158536663506524;25.564763646019834
60;Oinousses;67;38.521245283255524;25.564763646019834
61;Nisyros;67;36.591136027022735;25.564763646019834
62;Thrace;;40.99020017616846;26.004757197151037
63;Central-Greece;;38.87601135662379;22.319114372276747
64;Macedonia;;40.910884328073564;23.22153108200181
65;Asia-minor;;38.5231944247523;26.521702731335296
66;Southern-Italy;;37.4956965444923;14.488217381442661
67;Aegean-sea;;38.5853888564289;25.564763646019834
68;Thessaly;;39.57905217840133;22.421756857721853
69;Peloponnese;;37.200485993306756;22.362045452582027
70;Ionian-sea;;38.43167066526269;20.675489887943545
71;Epirus;;39.66608483034404;20.826263473906028
72;Crete;;35.19124573828352;25.024171535651924
73;Pontus;;40.98830222241354;39.727075504282254
74;Euboea;;38.50843106661583;24.003613925733106
75;Egypt;;31.20460962212675;30.20573320844952
76;Romania;;44.37315771875794;25.424802192291242
77;Cyprus;;35.10009399380982;33.3973245270655
78;Turkey;;39.67514772040062;32.57490915562928
79;Kythira;;36.246526313827914;22.986454585687405
80;Lebanon;;34.193433632600595;35.771090724922296
81;Bulgaria;;42.296181529758;25.259792108321818
