Görögország városainak népessége					
Görögország városai a 2011. évi lakónépesség csökkenő sorrendjében					
Rangsor	Név	1981	1991	2001	2011
1.	Athén (Athína)	885 737	772 072	745 514	664 046
2.	Szaloniki (Theszaloníki)	406 413	383 967	363 987	315 196
3.	Pátra	142 163	152 570	160 400	167 446
4.	Pireusz (Pireéfsz)	196 389	182 671	175 697	163 688
5.	Lárisza	102 048	112 777	124 394	144 651
6.	Iráklio	102 398	115 270	130 914	140 730
7.	Perisztéri	140 858	137 288	137 918	139 981
8.	Kalithéa	117 319	114 233	109 609	100 641
9.	Aharnész	40 185	61 052	75 329	99 346
10.	Kalamariá	51 676	80 698	87 255	91 279
11.	Níkea	90 368	87 597	93 086	89 380
12.	Glifáda	44 018	63 306	80 409	87 305
13.	Vólosz	71 378	77 192	82 439	86 046
14.	Ílion	72 427	78 326	80 859	84 793
15.	Iliúpoli	69 560	75 037	75 904	78 153
16.	Keracíni	74 179	71 982	76 102	77 077
17.	Évozmosz	26 528	28 821	52 624	74 686
18.	Halándri	54 320	66 285	71 684	74 192
19.	Néa Zmírni	67 408	69 749	73 986	73 076
20.	Marúszi	48 151	64 092	69 470	72 333
21.	Ájiosz Dimítriosz	51 421	57 574	65 173	71 294
22.	Zográfu	84 548	80 492	76 115	71 026
23.	Egáleo	81 906	78 563	74 046	69 946
24.	Néa Jonía	59 202	60 635	66 017	67 134
25.	Joánina	44 829	56 699	61 629	65 574
26.	Paleó Fáliro	53 273	61 371	64 759	64 021
27.	Koridalósz	61 313	63 184	67 456	63 445
28.	Tríkala	40 857	45 835	48 686	61 653
29.	Víronasz	57 880	58 523	61 102	61 308
30.	Ajía Paraszkeví	32 904	47 463	56 836	59 704
31.	Galáci	50 096	57 230	58 042	59 345
32.	Agrínio	35 774	52 081	54 523	59 329
33.	Halkída	44 867	51 646	53 584	59 125
34.	Petrúpoli	27 902	38 278	48 327	58 979
35.	Széresz	45 213	50 017	54 266	58 287
36.	Alexandrúpoli	34 535	37 904	48 885	57 812
37.	Xánthi	31 541	37 430	45 111	56 122
38.	Kateríni	38 404	43 613	50 510	55 997
39.	Kalamáta	42 075	43 625	49 154	54 100
40.	Kavála	56 375	56 571	58 663	54 027
41.	Haniá	47 451	50 077	53 373	53 910
42.	Lamía	41 667	44 084	46 406	52 006
43.	Komotiní	34 051	37 036	43 326	50 990
44.	Iráklio	37 833	42 905	45 926	49 642
45.	Rodosz (Ródosz)	40 392	42 400	52 318	49 541
46.	Kifisziá	31 876	39 166	43 929	47 332
47.	Sztavrúpoli	32 225	37 596	41 653	46 008
48.	Haidári	47 396	44 831	45 227	45 642
49.	Dráma	36 109	37 604	42 501	44 823
50.	Véria	37 087	37 858	42 794	43 158
51.	Álimosz	27 036	32 024	38 047	41 720
52.	Kozáni	30 994	31 553	35 242	41 066
53.	Políhni	22 597	27 894	36 146	39 332
54.	Kardíca	27 291	30 067	32 031	38 554
55.	Szikiész	33 789	34 059	41 726	37 753
56.	Ambelókipi	40 033	40 093	40 959	37 381
57.	Piléa		20 785	22 744	34 625
58.	Ájii Anárgiri	30 300	30 739	32 957	34 168
59.	Argirúpoli	26 100	31 530	33 158	34 097
60.	Áno Liószia		21 397	26 423	33 565
61.	Néa Jonía	26 400	27 904	30 804	32 661
62.	Réthimno	18 910	23 420	27 868	32 468
63.	Ptolemaída	22 109	25 125	28 679	32 127
64.	Trípoli		22 429	25 520	30 866
65.	Holargósz	31 700	33 691	32 166	30 840
66.	Vrilíszia	7 600	16 571	25 582	30 741
67.	Aszprópirgosz	11 816	15 715	27 741	30 251
68.	Korinthosz (Kórinthosz)	22 658	27 412	29 787	30 176
69.	Jérakasz		8 512	13 921	29 939
70.	Metamórfoszi		21 052	26 448	29 891
71.	Janicá		22 504	26 296	29 789
72.	Vúla	10 500	17 998	25 532	28 364
73.	Kamateró		17 410	22 234	28 361
74.	Mitilíni		23 971	27 247	27 871
75.	Neápoli	31 500	30 568	29 995	27 084
76.	Elefthério-Kordelió		16 549	21 630	27 067
77.	Híosz		22 894	23 779	26 850
78.	Ajía Varvára	29 500	28 706	30 562	26 550
79.	Keszarianí		26 701	26 323	26 370
80.	Néa Filadélfia		25 261	24 112	25 734
81.	Moszháto		22 039	23 153	25 441
82.	Pérama		24 119	25 720	25 389
83.	Szalamína		22 567	25 730	25 370
84.	Elefszína		22 793	25 863	24 910
85.	Korfu (Kérkira)		31 359	28 185	24 838
86.	Pírgosz		28 465	23 274	24 359
87.	Mégara		20 403	23 032	23 456
88.	Kilkísz		12 139	17 430	22 914
89.	Dáfni		24 152	23 674	22 913
90.	Thébai (Thíva)		19 505	21 211	22 883
91.	Melíszia		13 469	19 526	22 741
92.	Árgosz		21 901	24 239	22 209
93.	Árta		19 087	19 435	21 895
94.	Artémida		9 485	17 391	21 488
95.	Livadiá		18 437	20 061	21 379
96.	Péfki		17 987	19 887	21 352
97.	Oreókasztro		5 458	11 896	20 852
98.	Éjio		22 178	21 061	20 422
99.	Kosz		14 714	17 890	19 432
100.	Koropí		12 790	15 860	19 164
101.	Préveza		13 695	16 321	19 042
102.	Náusza		19 794	19 870	18 882
103.	Oresztiáda		12 691	15 246	18 426
104.	Peréa		2 949	13 306	18 326
105.	Édesza		17 128	18 253	18 229
106.	Flórina		12 355	14 279	17 686
107.	Panórama		10 275	14 552	17 444
108.	Néa Erithréa		12 993	15 439	17 379
109.	Elinikó		13 517	16 740	17 259
110.	Amaliáda		15 232	18 261	16 763
111.	Palíni		8 021	12 552	16 415
112.	Szpárti		13 011	14 817	16 239
113.	Ájiosz Joánisz Réndisz		14 218	15 060	16 050
114.	Thérmi		5 156	11 360	16 004
115.	Vári		8 488	10 998	15 855
116.	Néa Mákri		12 120	13 986	15 554
117.	Távrosz		15 456	14 963	14 972
118.	Alexándria		12 109	13 229	14 821
119.	Meneméni		12 932	14 910	14 746
120.	Peanía		9 710	12 855	14 595
121.	Kalívia Thorikú		8 488	12 202	14 424
122.	Návplio		11 897	13 822	14 203
123.	Drapecóna		13 094	12 944	13 968
124.	Efkarpía		3 480	6 598	13 905
125.	Papágu		13 974	13 207	13 699
126.	Návpaktosz		10 854	12 924	13 415
127.	Kasztoriá		14 775	14 813	13 387
128.	Grevená		9 345	10 177	13 137
129.	Péfka		3 561	6 434	13 052
130.	Néa Alikarnaszósz		10 683	11 551	12 925
131.	Meszolóngi		10 916	12 225	12 785
132.	Gázi		1 395	8 018	12 606
133.	Jerápetra		9 541	11 678	12 355
134.	Kálimnosz		10 543	10 149	12 324
135.	Rafína		7 752	11 352	12 168
136.	Lutráki		9 388	11 383	11 564
137.	Ájiosz Nikólaosz		8 093	10 080	11 421
138.	Ermúpoli		13 030	11 799	11 407
139.	Jaliszósz		7 193	10 107	11 331
140.	Mándra		10 012	10 947	11 327
141.	Tírnavosz		12 028	11 116	11 069
142.	Gliká Nerá		5 813	6 623	11 049
143.	Imitósz		11 671	11 139	10 715
144.	Néo Pszihikó		12 023	10 848	10 137
